#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;11
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10;1531
1;12;8803
2;10;4483
3;11;7507
4;10;4267
5;16;5599
6;10;2170
7;8;4888
8;8;5977
9;10;2323
10;12;8659
11;323;7273
12;17;7444
13;16;2035
14;14;739
15;20;676
16;14;4618
17;22;1900
18;15;6094
19;18;6355
20;28;9001
21;27;5455
22;15;1081
23;29;1270
24;12;6049
25;14;4231
26;14;1585
27;13;1990
28;15;4987
29;20;5086
30;26;1342
31;839;3097
32;10;1837
33;7;8893
34;11;6175
35;12;8344
36;10;2386
37;12;6868
38;16;8110
39;23;3016
40;20;3187
41;8;2710
42;8;1144
43;9;2917
44;9;3925
45;7;2845
46;9;5770
47;4;514
48;14;5419
49;9;5671
50;10;4222
51;10;3394
52;9;5284
53;10;2953
54;24;7732
55;12;7984
56;11;7084
57;12;5374
58;7;1036
59;13;7399
60;10;7804
61;13;6031
62;10;3871
63;13;6265
64;11;4780
65;9;6292
66;11;4015
67;11;8596
68;10;2647
69;10;3610
70;10;5635
71;9;5896
72;11;1594
73;13;6904
74;6;1378
75;6;1468
76;8;550
77;12;3475
78;8;4276
79;13;3304
80;7;3025
81;14;8740
82;11;3646
83;9;3574
84;8;5428
85;10;7876
86;11;4096
87;11;1630
88;12;8623
89;8;4213
90;6;5716
91;9;5842
92;3;1117
93;6;307
94;11;6283
95;9;3205
96;5;316
97;9;1045
98;8;6562
99;5;1216
100;10;3898
101;6;379
102;8;2692
103;14;6643
104;8;4069
105;13;5185
106;9;7120
107;7;1954
108;19;2206
109;8;3916
110;13;8245
111;11;4519
112;9;8848
113;3;244
114;11;5653
115;9;2305
116;12;8299
117;11;6913
118;7;2377
119;17;7048
120;9;1603
121;480;4960
122;11;3088
123;10;2224
124;10;4420
125;384;136
126;8;4825
127;129;712
128;11;5815
129;15;8146
130;10;2539
131;11;5149
132;9;5401
133;8;1657
134;25;3619
135;12;6220
136;9;2557
137;12;7057
138;9;4285
139;11;6859
140;10;3421
141;12;4528
142;10;1495
143;173;532
144;14;1621
145;10;3826
146;8;5833
147;7;2062
148;26;6958
149;7;820
150;15;4753
151;11;7642
152;7;2458
153;9;2107
154;8;1738
155;11;6526
156;10;4204
157;12;7597
158;13;4726
159;9;6832
160;8;1873
161;6;3232
162;11;7417
163;13;6877
164;10;8479
165;7;1927
166;7;5266
167;13;8128
168;12;8857
169;10;4636
170;9;4465
171;6;1297
172;19;3592
173;7;4717
174;12;5860
175;10;7570
176;6;694
177;11;802
178;10;8434
179;11;6481
180;14;5788
181;3;523
182;10;5752
183;7;4348
184;8;2260
185;11;8911
186;12;3439
187;9;1261
188;13;6463
189;11;3727
190;10;7993
191;10;6229
192;15;5176
193;9;1504
194;9;1072
195;11;6544
196;5;1063
197;7;1018
198;10;1324
199;7;4402
200;10;7822
201;7;1639
202;10;847
203;4;190
204;10;3268
205;8;2188
206;12;4897
207;8;4915
208;127;604
209;20;4366
210;9;3007
211;14;7471
212;12;4492
213;11;2404
214;9;4393
215;5;811
216;13;5383
217;53;586
218;9;4240
219;14;6238
220;11;6373
221;8;2926
222;8;4870
223;11;7579
224;12;4330
225;14;1090
226;10;3520
227;12;6112
228;8;3934
229;10;4690
230;12;2413
231;16;1729
232;9;1009
233;6;1234
234;13;5518
235;12;8056
236;10;2485
237;3;460
238;8;1198
239;10;5662
240;8;3169
241;11;4879
242;13;4591
243;9;4186
244;9;3295
245;12;8200
246;13;7210
247;13;7552
248;8;1441
249;9;6985
250;8;3484
251;8;6715
252;11;3943
253;7;2044
254;8;3070
255;9;5212
256;8;5680
257;15;7039
258;8;3754
259;12;2611
260;13;6751
261;5;451
262;9;4033
263;9;2773
264;7;5167
265;17;3052
266;9;1432
267;13;8776
268;10;4699
269;7;5986
270;9;6517
271;12;3772
272;9;3664
273;14;5581
274;11;5356
275;9;2530
276;4;397
277;8;4933
278;3;748
279;9;7165
280;16;6805
281;11;8830
282;8;4789
283;11;7930
284;9;2701
285;13;8317
286;4;262
287;7;3790
288;8;5698
289;15;5113
290;10;3034
291;13;8047
292;11;8002
293;8;3133
294;6;1423
295;17;6634
296;13;6445
297;11;5950
298;8;1945
299;8;1450
300;9;6400
301;8;3124
302;11;5779
303;13;6652
304;11;2071
305;4;253
306;10;3466
307;6;955
308;11;7435
309;11;6625
310;14;5536
311;11;6211
312;8;8569
313;10;1720
314;9;7354
315;10;3835
316;13;5545
317;9;3061
318;12;5689
319;8;4177
320;11;5302
321;11;2746
322;14;4555
323;9;3412
324;10;4051
325;8;2737
326;2;280
327;3;352
328;8;6670
329;9;2296
330;8;1567
331;8;3583
332;8;2674
333;10;3502
334;10;8281
335;8;3340
336;9;2575
337;9;2161
338;15;8902
339;9;4321
340;14;3322
341;13;2881
342;15;3853
343;13;3313
344;19;5806
345;13;1540
346;11;388
347;16;4537
348;20;9091
349;17;7489
350;9;775
351;22;5959
352;17;5158
353;585;7255
354;16;1774
355;20;3907
356;16;4672
357;26;6022
358;16;2440
359;19;2602
360;9;217
361;16;4681
362;14;5563
363;7;766
364;9;3214
365;3;154
366;6;1918
367;19;3718
368;12;7543
369;8;7021
370;7;2179
371;6;1693
372;5;829
373;18;8587
374;11;7156
375;9;7129
376;8;5095
377;4;640
378;7;1936
379;12;4159
380;15;5032
381;11;5626
382;9;5932
383;3;127
384;13;7885
385;10;5131
386;17;2503
387;11;8722
388;7;2629
389;86;8866
390;9;1648
391;11;5869
392;8;7363
393;13;6157
394;8;856
395;12;4456
396;13;6490
397;17;5464
398;14;7345
399;11;7606
400;4;181
401;3;163
402;9;7309
403;8;3457
404;14;4042
405;13;4141
406;12;8038
407;13;6922
408;15;8695
409;9;5500
410;13;8290
411;9;4168
412;9;8173
413;15;5995
414;13;5014
415;13;7012
416;4;1135
417;10;7300
418;6;1396
419;11;3529
420;16;1027
421;8;595
422;11;8506
423;10;7453
424;6;3115
425;18;9010
426;14;6391
427;8;5923
428;7;8578
429;7;6589
430;4;1180
431;10;6553
432;3;172
433;12;2089
434;10;8938
435;8;4798
436;5;3961
437;3;937
438;12;4294
439;10;4771
440;10;5968
441;9;8785
442;5;3250
443;8;7192
444;7;1756
445;10;8371
446;7;8443
447;5;2620
448;3;1486
449;26;4735
450;11;7903
451;11;7030
452;6;7813
453;8;5122
454;3;118
455;20;1999
456;13;6148
457;6;631
458;8;3817
459;4;1108
460;3;199
461;6;1477
462;6;7948
463;5;4249
464;14;3223
465;8;946
466;7;2521
467;6;991
468;10;3709
469;8;5347
470;7;1747
471;8;4447
472;5;2017
473;9;5392
474;11;8731
475;6;2512
476;10;9055
477;760;8074
478;7;3142
479;12;8812
480;10;4744
481;8;7723
482;3;343
483;20;4978
484;12;6742
485;10;7588
486;7;8065
487;6;4627
488;12;4024
489;11;6769
490;3;109
491;7;3979
492;8;8704
493;7;6013
494;9;4942
495;3;469
496;10;9046
497;8;8821
498;7;2908
499;10;9028
500;13;6679
501;9;6004
502;7;4474
503;11;6139
504;1378;7246
505;414;424
506;15;7174
507;11;3538
508;14;4114
509;13;1810
510;12;3511
511;24;7660
512;9;757
513;14;4843
514;11;6706
515;11;4969
516;15;6841
517;7;541
518;10;2836
519;14;4510
520;811;8488
521;11;8884
522;17;6949
523;11;8182
524;8;5320
525;10;9019
526;10;6310
527;10;5743
528;9;7624
529;6;5041
530;14;5482
531;8;7615
532;9;4951
533;9;8650
534;8;1855
535;11;6346
536;9;7219
537;7;6814
538;13;6067
539;6;1126
540;11;3403
541;13;7714
542;10;1819
543;7;6724
544;13;5005
545;10;3259
546;10;5725
547;10;2359
548;10;5077
549;14;7921
550;8;1846
551;11;7894
552;13;7705
553;1249;7138
554;10;6301
555;8;1675
556;8;2800
557;10;8956
558;19;8155
559;9;2863
560;9;4708
561;8;6778
562;6;5617
563;21;3151
564;7;613
565;12;5437
566;10;3763
567;10;6661
568;6;1288
569;9;8767
570;9;5914
571;13;5797
572;11;8461
573;10;1972
574;6;2548
575;27;6733
576;6;4078
577;7;1306
578;4;478
579;10;6994
580;9;7858
581;11;7759
582;11;3889
583;7;1792
584;3;559
585;11;3655
586;10;4438
587;8;1963
588;8;5608
589;8;5230
590;7;1513
591;12;2116
592;11;6382
593;13;6337
594;3;667
595;8;703
596;7;7282
597;7;4384
598;9;6850
599;15;8947
600;8;9073
601;6;874
602;23;7381
603;13;4834
604;10;5194
605;10;1522
606;11;5059
607;9;3745
608;14;8632
609;8;2980
610;14;8470
611;10;2053
612;9;8362
613;6;3547
614;4;325
615;18;1828
616;7;2638
617;15;6931
618;13;8191
619;9;3628
620;24;8533
621;10;3682
622;14;7849
623;11;5905
624;10;8497
625;22;2755
626;15;2125
627;15;5410
628;11;5707
629;9;3691
630;7;2080
631;10;6364
632;9;8974
633;14;5473
634;9;3376
635;10;9082
636;21;8542
637;12;7111
638;9;3079
639;10;2026
640;10;4312
641;7;1333
642;7;4501
643;8;2809
644;15;2278
645;11;8137
646;10;2152
647;13;8083
648;7;2395
649;7;2971
650;3;793
651;6;1369
652;11;2233
653;23;928
654;17;7264
655;15;7687
656;13;1891
657;7;2143
658;7;2341
659;27;7831
660;14;883
661;17;6895
662;22;8227
663;8;433
664;16;8254
665;988;4573
666;17;1099
667;19;6193
668;17;9037
669;17;2728
670;17;3385
671;27;6616
672;30;5311
673;17;7786
674;7;226
675;16;5365
676;22;8353
677;13;8101
678;11;3196
679;10;6472
680;12;6256
681;25;6427
682;8;2368
683;13;6940
684;8;2872
685;15;5734
686;14;6508
687;11;8164
688;8;5527
689;79;1387
690;6;2269
691;11;3808
692;9;5104
693;3;235
694;41;7336
695;9;2008
696;8;4582
697;12;3799
698;10;4609
699;10;6202
700;12;8272
701;15;5257
702;11;4861
703;11;5293
704;11;2962
705;12;8551
706;15;6166
707;9;7318
708;29;2827
709;7;6688
710;14;4429
711;9;5329
712;14;4132
713;9;6535
714;9;6274
715;8;4600
716;13;2989
717;13;8011
718;13;6760
719;3;838
720;8;7768
721;9;4645
722;9;4816
723;4;1162
724;13;4564
725;11;4924
726;13;5221
727;9;2818
728;6;2494
729;11;8092
730;12;2422
731;11;7561
732;8;2332
733;9;2467
734;7;2719
735;9;4375
736;9;6607
737;6;1153
738;5;1207
739;9;3952
740;10;6499
741;9;7633
742;12;3970
743;8;577
744;8;1909
745;15;7651
746;11;7237
747;9;2584
748;8;7183
749;13;9064
750;5;487
751;10;6130
752;9;7093
753;7;4195
754;11;8605
755;8;2764
756;11;7516
757;12;3493
758;3;415
759;8;982
760;4;685
761;8;5941
762;17;3178
763;6;892
764;16;7327
765;10;964
766;11;6454
767;7;1666
768;7;2791
769;15;8218
770;18;6967
771;11;1414
772;9;2890
773;3;784
774;11;5851
775;7;3736
776;47;7480
777;11;3106
778;13;5068
779;9;1171
780;1185;7678
781;7;2476
782;9;6823
783;13;7390
784;153;442
785;12;8839
786;7;1981
787;13;1459
788;7;5248
789;8;919
790;9;5572
791;6;865
792;14;7975
793;10;7408
794;8;3331
795;14;8425
796;6;1252
797;13;5023
798;11;4663
799;10;3781
800;505;289
801;555;370
802;8;1351
803;7;1684
804;4;1054
805;14;2593
806;10;6085
807;13;7228
808;11;3556
809;10;6328
810;13;7777
811;12;3358
812;12;8236
813;723;145
814;9;8668
815;13;7075
816;13;8407
817;14;7912
818;9;3043
819;10;8677
820;10;2854
821;48;8416
822;15;2935
823;16;5644
824;17;8209
825;22;7003
826;14;1765
827;15;6040
828;8;298
829;19;7498
830;15;4852
831;24;7372
832;13;6580
833;6;649
834;17;6787
835;12;4006
836;15;7102
837;15;2431
838;17;6571
839;806;6598
840;9;8614
841;10;5491
842;12;2197
843;11;6184
844;12;8389
845;9;8263
846;7;5509
847;6;721
848;9;2314
849;7;1000
850;13;8119
851;8;7669
852;21;4123
853;10;7840
854;11;5338
855;8;2215
856;9;1360
857;9;8029
858;8;7741
859;10;4150
860;8;2350
861;11;8452
862;6;3241
863;29;1315
864;4;208
865;36;5887
866;13;1711
867;11;7957
868;10;8380
869;8;8515
870;3;271
871;18;1612
872;38;8929
873;3;622
874;13;7291
875;8;6418
876;14;6886
877;12;3286
878;15;2683
879;7;3862
880;3;361
881;21;4087
882;6;4411
