#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;5
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;143002;5950
1;146027;2836
2;144972;4969
3;148668;253
4;147150;2800
5;147683;1306
6;146339;2575
7;141988;7957
8;146118;2872
9;141590;8407
10;145389;3574
11;140856;7993
12;144114;5824
13;145170;3781
14;146351;3619
15;140114;8776
16;148171;793
17;141247;8614
18;145188;3736
19;142893;7075
20;146379;2485
21;140303;8650
22;146613;3376
23;140308;8587
24;143349;6562
25;145874;2989
26;145753;3160
27;146631;3349
28;146926;1954
29;148401;478
30;147245;2674
31;143232;5752
32;142607;7327
33;146900;2035
34;145056;3871
35;148371;1504
36;142624;6274
37;142095;7831
38;147445;1522
39;146466;2449
40;141100;8830
41;146618;2251
42;145445;4510
43;143868;5095
44;147452;1486
45;148988;919
46;140949;7939
47;148978;955
48;143553;5338
49;147837;1009
50;148643;1297
51;142505;6490
52;147573;2368
53;145370;3529
54;143852;5077
55;146941;2998
56;144975;3916
57;147247;2692
58;140243;8677
59;145530;3394
60;140745;9091
61;146675;2215
62;145285;4528
63;145483;3439
64;144820;4123
65;142686;7210
66;147740;1126
67;147160;2719
68;146832;2098
69;145690;3241
70;149388;541
71;142674;6301
72;141988;7912
73;141944;6931
74;148161;775
75;145782;4159
76;143110;5806
77;145378;4564
78;148088;802
79;142524;6364
80;145604;4276
81;139876;9010
82;147578;2314
83;140913;8029
84;141544;7390
85;145954;3934
86;142115;6787
87;142832;6094
88;148137;1810
89;143495;5419
90;142762;7120
91;141339;7543
92;141554;7345
93;146166;3808
94;146910;2053
95;146963;2944
96;146774;2125
97;140522;8434
98;147721;2269
99;141481;7453
100;148406;1531
101;143625;5374
102;142482;6418
103;146319;3601
104;145730;3214
105;144161;5770
106;148500;406
107;145364;3511
108;142393;7534
109;147603;1315
110;144182;5698
111;142973;5905
112;148291;586
113;148739;1171
114;141637;7273
115;148943;964
116;141521;7471
117;143487;5464
118;149024;901
119;142043;6913
120;147208;2737
121;143856;5050
122;142803;6130
123;143622;6283
124;140183;8731
125;141804;7129
126;142155;7741
127;145576;3331
128;148732;1216
129;147536;1450
130;147230;1666
131;145532;4393
132;147543;1360
133;145963;3925
134;142085;6841
135;144451;4474
136;148023;1900
137;148429;559
138;141514;8416
139;144887;4078
140;147903;1072
141;148923;1036
142;142222;6697
143;149731;208
144;145922;3088
145;140166;8749
146;144727;5266
147;142869;6103
148;147074;2908
149;147120;1846
150;148210;712
151;141199;8713
152;142313;6634
153;143270;6643
154;145102;3772
155;148396;523
156;147602;2323
157;143570;5365
158;144527;5311
159;147332;1576
160;147591;1342
161;148891;1027
162;147071;1828
163;142199;7660
164;140789;8092
165;144565;4339
166;143680;6211
167;148645;289
168;145755;4141
169;140203;8695
170;147679;1207
171;144551;5347
172;148543;352
173;145613;4294
174;142186;6715
175;142779;6202
176;148069;1864
177;147495;1405
178;147005;2917
179;146297;2629
180;141294;7615
181;142763;7183
182;146466;2476
183;144773;5158
184;140992;7894
185;148294;640
186;143530;6445
187;144322;4627
188;144132;4771
189;142407;7516
190;142609;6373
191;149497;370
192;147118;1801
193;145942;2971
194;143983;5932
195;143935;5032
196;147897;1972
197;144458;4456
198;144148;4780
199;148127;1783
200;142001;6976
201;148417;1540
202;147488;1441
203;148601;343
204;143102;6796
205;141515;7381
206;144070;5815
207;142415;6517
208;148356;613
209;147555;2332
210;139854;9046
211;145920;3988
212;146478;2521
213;146735;2197
214;146645;3223
215;146487;2377
216;145791;4096
217;148021;856
218;143286;5608
219;146627;3277
220;145630;3259
221;141538;8398
222;146438;2494
223;146432;2512
224;145152;4762
225;144327;4663
226;146125;3826
227;142540;6355
228;147772;1081
229;146989;2935
230;144749;4132
231;145913;2980
232;145324;4618
233;142110;6823
234;143650;6265
235;145826;3097
236;140639;8272
237;149361;604
238;145302;3682
239;145969;3979
240;148757;163
241;140801;8110
242;141008;8974
243;145484;3475
244;146619;3295
245;140694;8245
246;145484;3385
247;148130;1747
248;147468;1468
249;146326;3610
250;148216;658
251;144919;3961
252;148521;1423
253;145276;3691
254;147126;2755
255;145489;3367
256;140828;8065
257;143714;6166
258;145154;3790
259;149140;784
260;148621;262
261;144878;4015
262;146957;2953
263;143377;5581
264;145026;4843
265;146526;2341
266;147602;1288
267;149446;505
268;148142;811
269;146980;3016
270;148336;631
271;146370;2593
272;146764;3205
273;142155;6742
274;141428;8542
275;142758;6220
276;141985;6958
277;145402;4546
278;143299;5635
279;146246;2701
280;142328;7624
281;140547;8380
282;142542;7399
283;141271;7633
284;147040;1927
285;141570;8353
286;145239;3664
287;145111;4870
288;145821;3079
289;141518;7363
290;147599;2296
291;142515;6427
292;143650;6256
293;145674;3304
294;143716;5221
295;142812;7093
296;142965;5941
297;146997;2926
298;143677;5239
299;145376;3556
300;149740;199
301;147973;982
302;149496;451
303;144834;4069
304;148426;496
305;149205;667
306;144582;4330
307;145241;4654
308;146788;2080
309;144247;4672
310;144851;5104
311;142126;6850
312;149137;838
313;146065;2845
314;146828;2107
315;143809;6121
316;145218;3718
317;142949;6985
318;144481;4384
319;140378;8515
320;146072;3889
321;144036;4861
322;146156;2782
323;143513;6382
324;145606;3286
325;142197;7705
326;145383;3646
327;145176;3799
328;145740;4222
329;142368;6544
330;149796;154
331;144498;4420
332;144720;4240
333;146818;3169
334;146361;2548
335;149547;397
336;144719;4168
337;147674;1198
338;147516;2386
339;143669;5257
340;147015;2962
341;141158;7750
342;144666;4204
343;144795;5113
344;144206;4699
345;145908;4033
346;142455;6526
347;143209;5707
348;148114;1837
349;140311;8659
350;145076;4897
351;147320;1603
352;142149;6733
353;146233;3709
354;146187;2809
355;144512;5482
356;148589;316
357;140677;8254
358;142729;7192
359;143745;5203
360;148160;1819
361;142574;6346
362;146909;2062
363;140815;9082
364;148573;325
