#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;5
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;9;8704
1;7;172
2;8;1612
3;9;6616
4;7;1081
5;6;721
6;9;8425
7;9;2935
8;428;6355
9;8;1333
10;10;7624
11;9;5410
12;8;2980
13;9;5716
14;15;8641
15;10;2188
16;13;4240
17;11;5914
18;9;1657
19;13;7921
20;11;1666
21;9;2764
22;7;487
23;13;6742
24;14;5563
25;33;6472
26;12;1234
27;9;1504
28;10;3079
29;8;4051
30;8;3538
31;6;2521
32;3;1054
33;10;1990
34;15;1495
35;15;1414
36;9;2737
37;8;2638
38;15;1873
39;6;622
40;9;7039
41;8;4330
42;15;6697
43;10;7453
44;10;3358
45;9;2692
46;8;4123
47;10;8542
48;10;2269
49;25;4060
50;7;7363
51;12;8398
52;10;5356
53;8;1918
54;9;8038
55;3;910
56;16;8299
57;10;2008
58;12;4834
59;437;6706
60;9;4951
61;4;748
62;11;4861
63;11;1486
64;634;253
65;9;3403
66;11;5284
67;18;7237
68;12;6553
69;9;2746
70;10;4762
71;8;3691
72;5;1279
73;7;5059
74;30;4717
75;14;7705
76;11;1828
77;8;1072
78;8;3808
79;9;2485
80;3;559
81;9;8587
82;14;4546
83;14;4285
84;12;6040
85;9;1891
86;10;4438
87;7;4096
88;10;5401
89;7;1576
90;11;5950
91;8;1252
92;12;7183
93;9;2044
94;8;4663
95;20;7714
96;11;3925
97;15;2710
98;9;3682
99;11;5068
100;10;6499
101;16;8344
102;6;2629
103;6;3484
104;4;1180
105;3;874
106;5;4213
107;5;7372
108;14;6337
109;23;2305
110;8;901
111;6;496
112;12;8623
113;7;2962
114;5;568
115;12;4105
116;12;7093
117;5;460
118;12;4618
119;7;6940
120;14;8578
121;12;7804
122;10;7723
123;6;1009
124;5;3592
125;6;1864
126;14;3070
127;8;1585
128;10;1783
129;10;3916
130;8;4321
131;9;856
132;25;3160
133;10;1792
134;9;5707
135;14;4708
136;9;7615
137;4;694
138;14;7984
139;8;2476
140;13;6841
141;9;2557
142;9;4636
143;10;1630
144;10;8884
145;11;2323
146;10;6346
147;7;8731
148;7;1261
149;9;2602
150;12;4276
151;11;7435
152;8;2530
153;9;4816
154;24;8506
155;8;6814
156;13;6103
157;8;2917
158;9;6310
159;6;667
160;14;7993
161;13;8335
162;4;433
163;8;6364
164;8;1000
165;8;5014
166;8;6544
167;8;6292
168;8;2854
169;11;7462
170;8;2404
171;9;9091
172;5;5491
173;5;2215
174;12;5374
175;12;4996
176;10;1171
177;8;7264
178;5;2152
179;6;4744
180;16;3826
181;5;154
182;16;4906
183;15;6013
184;14;1531
185;645;5743
186;20;6904
187;15;5545
188;16;6571
189;13;2881
190;15;6058
191;14;2098
192;24;2161
193;15;4735
194;14;5959
195;15;3097
196;11;2674
197;17;5428
198;16;1243
199;29;7732
200;15;6958
201;16;7831
202;7;5770
203;12;2206
204;17;2827
205;10;8524
206;8;5833
207;6;7768
208;11;5536
209;11;8065
210;9;6994
211;11;6715
212;11;2836
213;10;1648
214;10;6805
215;9;8659
216;10;7192
217;11;4366
218;13;5725
219;9;5302
220;5;2719
221;4;2656
222;13;7300
223;8;3052
224;8;5878
225;9;7525
226;5;2197
227;14;6445
228;8;3664
229;11;7480
230;7;1351
231;8;3934
232;5;145
233;5;4258
234;13;7957
235;11;2503
236;9;4375
237;7;6670
238;7;6067
239;8;2566
240;2;226
241;6;928
242;9;8047
243;6;3205
244;9;8812
245;7;4915
246;11;5608
247;9;3106
248;4;388
249;8;4150
250;10;9028
251;7;4186
252;8;4771
253;10;4654
254;12;7633
255;6;2575
256;8;5464
257;14;2170
258;8;5122
259;10;3196
260;1191;2998
261;10;8839
262;12;6823
263;8;5176
264;12;6130
265;10;1801
266;9;7939
267;5;1288
268;5;1756
269;7;8074
270;7;3124
271;13;5338
272;3;379
273;8;4357
274;8;4789
275;3;523
276;5;1549
277;6;4393
278;5;6121
279;7;2548
280;13;8776
281;8;8443
282;5;1693
283;14;2251
284;7;7345
285;13;8974
286;9;3997
287;8;6427
288;5;5419
289;13;6598
290;10;3277
291;8;847
292;10;4501
293;8;5032
294;4;4024
295;95;8470
296;8;280
297;10;1837
298;11;6265
299;8;2755
300;4;316
301;8;766
302;10;8092
303;8;3142
304;12;5023
305;9;4627
306;4;514
307;10;5050
308;11;8920
309;2;361
310;6;7390
311;14;7795
312;7;1405
313;9;5806
314;6;5815
315;4;1684
316;6;5509
317;9;3286
318;12;6022
319;9;3817
320;8;6454
321;4;964
322;8;4303
323;5;1594
324;11;7894
325;9;3133
326;9;2134
327;11;5626
328;3;127
329;6;1117
330;12;8362
331;13;9082
332;8;8614
333;8;6175
334;140;595
335;4;1378
336;7;3781
337;12;7147
338;11;8029
339;4;298
340;7;8002
341;550;163
342;7;3529
343;6;451
344;5;2539
345;14;9055
346;8;7318
347;15;7273
348;13;5527
349;16;7399
350;10;802
351;15;3646
352;15;2062
353;13;4591
354;19;5572
355;22;4420
356;14;6931
357;15;3907
358;7;1441
359;11;1342
360;11;2944
361;15;5248
362;36;5104
363;17;5995
364;14;829
365;13;5617
366;16;1999
367;18;1522
368;15;7867
369;19;5644
370;10;4726
371;13;8632
372;9;8785
373;16;4573
374;12;4456
375;11;4033
376;8;1702
377;10;6085
378;10;5968
379;17;6112
380;4;1423
381;3;289
382;4;1027
383;13;7444
384;11;7534
385;9;5347
386;3;640
387;3;883
388;11;2314
389;5;5212
390;12;4699
391;11;5455
392;7;2683
393;8;3151
394;18;7885
395;8;649
396;9;6769
397;10;2845
398;11;4555
399;12;5266
400;9;1927
401;4;1153
402;5;3313
403;6;6436
404;11;3061
405;9;3853
406;12;7111
407;5;1036
408;6;7354
409;5;757
410;7;6139
411;4;3511
412;3;3394
413;4;5482
414;9;7840
415;9;8317
416;11;4879
417;12;2179
418;8;6760
419;16;5293
420;11;3763
421;9;8209
422;8;8830
423;14;5239
424;11;8452
425;5;478
426;15;3889
427;8;1621
428;14;8857
429;13;1396
430;10;7228
431;7;3565
432;3;352
433;16;3376
434;9;7750
435;13;6625
436;11;5167
437;9;5761
438;16;7948
439;10;3322
440;8;937
441;12;8119
442;8;6751
443;12;5671
444;10;2818
445;14;3961
446;10;4897
447;11;6373
448;9;8389
449;6;712
450;17;8407
451;13;8146
452;4;190
453;10;6319
454;9;4681
455;12;8956
456;14;4510
457;12;7606
458;5;1360
459;8;4528
460;9;4114
461;10;5923
462;12;5392
463;11;6229
464;9;6922
465;8;4042
466;9;7030
467;4;973
468;14;8137
469;5;1225
470;6;217
471;10;8992
472;3;136
473;6;2800
474;15;4609
475;14;8965
476;13;7201
477;7;2350
478;8;6238
479;9;1198
480;12;6607
481;17;6895
482;8;2971
483;9;4987
484;9;1432
485;4;946
486;7;3745
487;10;1738
488;13;8182
489;11;3709
490;13;1450
491;9;6967
492;7;7048
493;12;4780
494;10;2143
495;13;7660
496;11;3232
497;10;3655
498;8;8128
499;13;8695
500;13;4807
501;8;1711
502;12;5662
503;8;6400
504;12;8911
505;12;4978
506;9;2512
507;3;424
508;10;7012
509;3;334
510;14;9037
511;18;9064
512;1265;7966
513;16;6211
514;16;1909
515;28;7588
516;9;586
517;16;6247
518;21;6463
519;13;2953
520;21;8281
521;17;3601
522;16;6535
523;10;1306
524;13;3016
525;22;9019
526;13;1765
527;18;5005
528;17;4942
529;18;4582
530;9;5698
531;11;6868
532;17;6859
533;10;5320
534;9;7255
535;13;3979
536;12;5275
537;23;8533
538;5;262
539;8;5257
540;11;7327
541;12;8551
542;19;5824
543;388;5680
544;14;8272
545;8;3187
546;11;1963
547;9;8479
548;9;5158
549;419;271
550;13;5932
551;12;8263
552;6;676
553;572;325
554;22;6220
555;14;8929
556;11;8083
557;10;3502
558;11;8164
559;9;5329
560;15;5590
561;7;685
562;9;8605
563;8;6517
564;32;3421
565;14;8677
566;10;3520
567;10;7075
568;9;6661
569;13;5752
570;12;3295
571;15;8668
572;10;4267
573;7;2494
574;7;2782
575;6;1639
576;9;7696
577;11;7822
578;11;6634
579;9;3790
580;13;7426
581;10;7930
582;13;1216
583;11;6391
584;11;1018
585;8;5140
586;7;5977
587;13;8011
588;10;2611
589;11;7471
590;10;5599
591;7;1882
592;7;1981
593;10;7120
594;13;8713
595;9;1270
596;8;4600
597;8;8740
598;9;6409
599;11;3988
600;9;1819
601;7;541
602;9;3250
603;5;469
604;8;3583
605;7;4645
606;23;7759
607;9;5734
608;12;7084
609;9;3880
610;10;9010
611;5;406
612;4;397
613;11;7165
614;5;820
615;9;2035
616;12;8308
617;8;6526
618;10;7777
619;14;6274
620;14;6886
621;4;100
622;7;7678
623;14;7057
624;11;4348
625;14;8056
626;9;7903
627;14;7489
628;6;181
629;7;5095
630;3;343
631;13;5896
632;10;2089
633;9;3700
634;12;5851
635;8;4447
636;9;6166
637;11;4294
638;13;6382
639;9;2908
640;8;2791
641;5;1324
642;9;5860
643;19;2413
644;5;118
645;13;1945
646;6;2233
647;7;1207
648;6;955
649;2;199
650;10;1810
651;9;1315
652;9;3898
653;8;1855
654;9;3862
655;7;3736
656;10;7498
657;10;4141
658;8;2107
659;13;1459
660;9;1972
661;9;2593
662;9;4222
663;9;3448
664;11;4231
665;15;2449
666;10;4429
667;7;1513
668;13;7561
669;11;3475
670;9;3367
671;11;7003
672;11;307
673;9;4078
674;17;6301
675;14;5086
676;15;4168
677;12;730
678;16;3970
679;16;2458
680;18;2440
681;27;4960
682;28;4483
683;8;631
684;15;4474
685;15;2125
686;41;8020
687;29;7219
688;17;4825
689;895;7129
690;24;8875
691;32;6688
692;12;658
693;17;3556
694;9;739
695;15;5446
696;9;1135
697;11;5653
698;13;8245
699;11;4159
700;11;4249
701;13;3034
702;8;2332
703;8;6877
704;11;7291
705;7;8596
706;7;6652
707;13;7651
708;12;1297
709;11;7417
710;9;2890
711;10;5149
712;15;6418
713;9;1387
714;14;6832
715;10;7741
716;14;8569
717;11;6148
718;9;2467
719;8;3340
720;9;8947
721;15;4843
722;11;4672
723;9;2071
724;7;2260
725;12;8254
726;12;8416
727;11;1603
728;8;4384
729;11;4852
730;7;3718
731;20;8236
732;23;6004
733;10;8686
734;8;8488
735;21;7642
736;13;8101
737;3;577
738;10;1774
739;12;5941
740;7;4753
741;17;7309
742;16;6985
743;8;2287
744;12;6913
745;8;7876
746;11;8938
747;12;7786
748;9;8560
749;9;1900
750;8;1108
751;10;5554
752;13;7516
753;14;8218
754;11;5842
755;4;550
756;9;5113
757;3;370
758;9;6193
759;15;6481
760;12;6562
761;10;7687
762;5;811
763;10;7408
764;13;7138
765;10;2809
766;10;2989
767;10;604
768;8;6184
769;9;3007
770;11;8461
771;10;2926
772;11;5473
773;11;3241
774;9;8173
775;7;1567
776;5;892
777;10;5383
778;11;3214
779;8;1369
780;13;8290
781;11;3754
782;8;4411
783;2;505
784;10;4006
785;13;7381
786;5;1045
787;13;9073
788;8;4933
789;9;2863
790;11;7102
791;13;3439
792;13;8902
793;5;244
794;9;8497
795;8;3259
796;18;2341
797;14;8434
798;12;5887
799;12;2053
800;9;8380
801;12;3610
802;21;3844
803;10;1090
804;5;775
805;13;7975
806;11;6733
807;10;4195
808;5;919
809;9;2026
810;9;7813
811;15;7579
812;10;3835
813;11;2872
814;5;1477
815;9;4492
816;4;415
817;25;3412
818;11;5518
819;12;7156
820;8;3952
821;8;7543
822;8;1846
823;17;3178
824;9;2377
825;10;4537
826;9;3043
827;13;9001
828;9;6031
829;12;4177
830;9;3457
831;13;3637
832;11;3115
833;13;6976
834;15;5788
835;8;1675
836;32;8803
837;428;4465
838;105;8353
839;15;2620
840;19;5230
841;28;8371
842;16;5986
843;15;3727
844;21;7597
845;16;5077
846;20;3223
847;18;6490
848;17;3493
849;16;2242
850;14;5581
851;11;8848
