#Mode:;3
#Device:;USB_Optical_Mouse
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;41654;6274
1;43448;4429
2;44456;3457
3;43369;4501
4;38868;9082
5;41867;6067
6;29632;2296
7;29433;2512
8;28973;2917
9;44070;3853
10;39453;8452
11;29552;2341
12;27327;4573
13;41252;6679
14;43139;4672
15;43361;4528
16;40686;7201
17;30029;1909
18;29152;2665
19;40878;7066
20;30464;1396
21;31103;802
22;28445;3403
23;39291;8542
24;31039;676
25;30123;1747
26;39236;8650
27;40899;6922
28;29326;2602
29;31328;505
30;31170;757
31;39105;8785
32;30797;1027
33;43195;4681
34;28770;3097
35;41121;6724
36;42275;5590
37;40026;7867
38;38937;8929
39;40087;7849
40;29178;2620
41;41143;6769
42;41603;6166
43;40765;7102
44;28067;3772
45;29016;2908
46;41780;6103
47;28529;3358
48;39804;8029
49;40356;7588
50;31786;145
51;29722;2197
52;39600;8299
53;31226;721
54;27945;3898
55;42193;5761
56;42635;5266
57;39801;8038
58;31066;910
59;42862;5005
60;43628;4294
61;43201;4636
62;41615;6256
63;30399;1504
64;28492;3385
65;42135;5779
66;31213;739
67;31625;226
68;40800;7039
69;31219;793
70;28469;3421
71;40403;7444
72;30791;1216
73;39993;8002
74;42278;5527
75;45096;2863
76;28354;3538
77;27626;4159
78;42665;5113
79;40593;7246
80;42053;5824
81;43425;4456
82;30803;1009
83;39758;8191
84;39938;7912
85;29812;2035
86;41596;6283
87;40043;7795
88;29168;2719
89;39987;7975
90;30153;1729
91;40437;7408
92;31693;217
93;28572;3376
94;30457;1423
95;31152;280
96;39346;8524
97;29838;2062
98;41602;6229
99;40688;7138
100;27945;3970
101;43159;4879
102;29698;2206
103;45144;2737
104;29782;2053
105;30293;1585
106;42460;5428
107;30057;1837
108;30705;1171
109;45285;2530
110;29337;2458
111;31593;289
112;29751;2071
113;41918;5932
114;31007;883
115;39146;8758
116;39068;8776
117;27886;3997
118;28588;3295
119;29346;2701
120;43611;4312
121;31747;109
122;30148;1693
123;40623;7291
124;28960;2926
125;44036;3844
126;40215;7660
127;31130;784
128;27782;4060
129;27684;4069
130;30380;1378
131;38936;8947
132;41841;6175
133;43468;4420
134;44600;3277
135;39088;8740
136;39492;8371
137;39204;8659
138;29271;2566
139;31252;640
140;31243;649
141;39631;8290
142;31428;361
143;27199;4600
144;29643;2233
145;44086;3736
146;43080;4780
147;43108;4699
148;40159;7633
149;29341;2539
150;27534;4339
151;40123;7750
152;30908;973
153;31763;172
154;43302;4609
155;30762;1144
156;30536;1279
157;30978;1153
158;30419;1081
159;30301;1648
160;28915;2944
161;42473;5311
162;30928;955
163;29259;2692
164;30753;1333
165;42185;5671
166;28740;3133
167;42350;5500
168;42770;5275
169;28386;3637
170;44106;3727
171;43498;4366
172;43266;4627
173;31302;577
174;27134;4816
175;30165;1666
176;31243;730
177;44174;3655
178;43242;4618
179;31689;199
180;30550;1297
181;42901;4951
182;29430;2413
183;34554;415
184;41168;6787
185;31614;262
186;41408;6580
187;42661;5140
188;28005;3916
189;28897;3115
190;31451;487
191;40407;7435
192;42406;5455
193;40181;7669
194;41162;6958
195;38934;8911
196;39700;8173
197;43617;4240
198;43181;4735
199;43506;4348
200;28415;3466
201;30285;1576
202;26842;5032
203;40087;8074
204;30183;1720
205;29111;2800
206;41356;6553
207;40607;7264
208;28299;3439
209;42766;5077
210;42978;4861
211;41428;6436
212;29104;2782
213;40977;6931
214;29239;2881
215;39344;8533
216;29354;2647
217;41940;6094
218;41419;6382
219;27842;4087
220;29637;2179
221;42304;5383
222;39615;8263
223;43892;4123
224;31363;523
225;29959;1963
226;29560;2242
227;29848;1981
228;41723;6157
229;30177;1684
230;42518;5329
231;38990;8848
232;29794;1927
233;40148;7624
234;42755;5185
235;40177;7723
236;29524;2323
237;29129;2710
238;39295;8479
239;40187;7768
240;40082;7840
241;42799;5050
242;40155;7831
243;30512;1369
244;42532;5365
245;31815;127
246;41545;6319
247;39079;8803
248;41299;6571
249;28391;3412
250;42311;5617
251;43282;4663
252;40449;7417
253;28965;2890
254;31201;595
255;41623;6238
256;31504;379
257;27912;3952
258;39039;9028
259;28941;2971
260;39807;8056
261;40336;7480
262;41277;6508
263;27719;4213
264;41920;6013
265;29093;2116
266;44067;3754
267;31024;766
268;41715;6472
269;42282;5491
270;29647;2143
271;30942;829
272;40687;7111
273;28812;2980
274;39464;8380
275;40233;7570
276;44501;3268
277;42872;4942
278;30075;1486
279;41157;6715
280;41474;6328
281;30616;1405
282;28853;2836
283;40491;7210
284;30929;946
285;29421;2467
286;41479;6373
287;31816;190
288;44040;3511
289;42751;5122
290;40934;6841
291;41909;5878
292;29868;1936
293;39394;8488
294;40261;7516
295;42329;5464
296;43220;4564
297;41228;6670
298;28718;3061
299;30216;1432
300;29989;1792
301;30701;1135
302;39810;7939
303;29483;2377
304;40751;7192
305;41221;6616
306;40657;7165
307;30734;1162
308;29541;2305
309;42462;5338
310;39362;8425
311;41441;6364
312;38811;9091
313;40774;7012
314;30265;1549
315;29129;2629
316;28791;2989
317;29396;2404
318;41816;5959
319;42457;5392
320;42445;5293
321;43481;4375
322;44716;3160
323;41943;5734
324;40935;6913
325;42751;5095
326;41054;6760
327;27847;4042
328;38979;8902
329;28066;3799
330;41042;6814
331;40779;6967
332;30220;1603
333;38996;8983
334;40448;7318
335;29445;2386
336;29965;1846
337;42753;5068
338;28338;3592
339;39122;8749
340;43300;4474
341;39570;8227
342;30484;1261
343;38725;8920
344;40947;6877
345;27500;4231
346;28679;3205
347;31721;163
348;28378;3493
349;31140;658
350;29321;2584
351;30349;1513
352;42871;4888
353;40538;7345
354;42229;5608
355;30894;892
356;28049;4015
357;41976;5977
358;30674;1180
359;41111;6994
360;42412;5482
361;29913;1945
362;41060;6904
363;43207;4645
364;30817;1099
365;30413;1531
366;30757;1117
367;42158;5698
368;29348;2575
369;40746;7183
370;29864;2044
371;31657;325
372;39285;8668
373;41949;5860
374;29441;2494
375;40391;7471
376;29348;2476
377;31243;613
378;42464;5320
379;40696;7156
380;44725;3142
381;43945;3889
382;31514;388
383;30189;1657
384;41859;5950
385;39618;8245
386;43964;3907
387;41833;6040
388;43418;4411
389;39708;8209
390;31430;460
391;28631;3178
392;30061;1864
393;42713;5158
394;43403;4438
395;28815;3016
396;40134;7894
397;29717;2089
398;29587;2314
399;39569;8344
400;41258;6544
401;38878;8992
402;28378;3529
403;43909;3979
404;42097;5788
405;30047;1891
406;40529;7372
407;31175;685
408;40863;6976
409;28151;3619
410;41607;6301
411;44913;3025
412;42876;4996
413;43122;4915
414;30528;1360
415;29169;2656
416;30282;1621
417;39767;8128
418;41474;6409
419;28967;2935
420;31799;100
421;40586;7282
422;39931;7957
423;27630;4222
424;28542;3367
425;42589;5446
426;29799;2080
427;30458;1315
428;27686;4195
429;39200;8623
430;31690;244
431;30845;1018
432;41045;6859
433;40871;7030
434;42069;5842
435;31286;604
436;43896;4006
437;39804;8110
438;41661;6292
439;41809;6112
440;39168;8731
441;44585;3331
442;44107;3808
443;31502;469
444;41109;6805
445;40733;7147
446;29217;2521
447;30928;622
448;30966;838
449;26639;5284
450;40554;7390
451;30127;1819
452;44134;3646
453;29703;2395
454;41846;5986
455;41968;5941
456;44784;3070
457;40740;7084
458;40317;7651
459;26965;4897
460;40104;7759
461;40286;7552
462;41775;6121
463;40969;6832
464;42241;5545
465;39875;7993
466;42978;4906
467;40577;7327
468;38923;8884
469;43159;4726
470;45094;2746
471;44728;3106
472;26273;5572
473;31557;298
474;29177;2899
475;39025;8794
476;39991;8047
477;41435;6445
478;41235;6418
479;31212;703
480;28090;3718
481;40035;7876
482;40952;6940
483;40300;7525
484;31145;748
485;41109;6796
486;29478;2332
487;39297;8551
488;29882;2008
489;38801;9064
490;42458;5401
491;31266;559
492;44021;3826
493;29728;2152
494;38899;9019
495;31153;874
496;27935;3925
497;30006;1900
498;31784;118
499;28611;3304
500;39400;8506
501;41476;6346
502;41810;6076
503;30647;1252
504;29410;2422
505;43541;4249
506;30750;1207
507;31644;253
508;39561;8272
509;41262;6643
510;43522;4384
511;30088;1783
512;44872;3079
513;42262;5635
514;31305;541
515;42878;5203
516;43069;4789
517;28983;3007
518;39441;8443
519;43121;4744
520;42891;4933
521;40153;7732
522;39761;8137
523;40861;7075
524;41412;6490
525;39356;8569
526;29732;2134
527;30995;991
528;39734;8119
529;42882;5023
530;42890;4978
531;31402;514
532;29361;2503
533;29132;2755
534;40560;7309
535;39767;8200
536;40606;7300
537;30030;1918
538;44833;3052
539;42362;5473
540;42408;5518
541;30470;1459
542;42454;5410
543;31083;820
544;28166;3709
545;43527;4321
546;31266;667
547;40101;7786
548;38982;8830
549;41516;6337
550;28557;3286
551;28054;3862
552;44063;3817
553;41743;6058
554;30543;1342
555;41819;6049
556;39627;8164
557;29781;2161
558;41796;6031
559;27784;4051
560;43857;4033
561;42225;5662
562;44605;3232
563;42454;5374
564;42511;5302
565;44369;3520
566;38802;9010
567;28439;3448
568;41617;6265
569;29066;2791
570;39126;8713
571;41178;6652
572;30748;1108
573;42317;5509
574;45014;2827
575;39896;7966
576;39170;8722
577;39918;7984
578;40953;6895
579;42884;5041
580;30404;1468
581;42577;5194
582;29432;2368
583;31165;631
584;30802;1000
585;27431;4483
586;41712;6130
587;30424;1558
588;42964;4969
589;41689;6139
590;38896;8866
591;38767;9073
592;29011;2872
593;40518;7381
594;27530;4357
595;42060;5797
596;40917;6850
597;38991;8893
598;44535;3241
599;30602;1288
600;42204;5644
601;41815;6085
602;26719;5167
603;41735;6148
604;39764;8065
605;41888;5968
606;39731;8182
607;42342;5437
608;39494;8434
609;44310;3574
610;42929;4987
611;31348;532
612;39533;8317
613;27604;4141
614;28249;3556
615;40461;7363
616;31074;775
617;45080;2764
618;41265;6589
619;45356;2548
620;28159;3745
621;39355;8470
622;30061;1774
623;29489;2431
624;40196;7687
625;39086;8821
626;39409;8398
627;40734;7174
628;28282;3565
629;30297;1540
630;29606;2224
631;44385;3475
632;41951;5923
633;43375;4519
634;41311;6481
635;41003;6868
636;40796;7129
637;39546;8353
638;41023;6706
639;40227;7642
640;29491;2287
641;28542;3259
642;40324;7426
643;43087;4717
644;41540;6310
645;41678;6184
646;41748;6211
647;40005;7903
648;42155;5707
649;39899;7948
650;42600;5212
651;30434;1387
652;31621;316
653;40055;7813
654;38951;8956
655;31024;865
656;27325;4546
657;39945;7921
658;38831;8965
659;39056;8812
660;31089;847
661;43133;4807
662;40560;7336
663;43013;4870
664;41707;6193
665;44734;3196
666;43466;4285
667;29941;1855
668;27345;4537
669;38874;8857
670;29310;2611
671;40915;6985
672;40246;7615
673;40182;7678
674;29753;1990
675;31296;586
676;40975;6949
677;30469;1477
678;40444;7489
679;30362;1495
680;44479;3313
681;28543;3322
682;27992;3934
683;28470;3430
684;44767;3088
685;31586;271
686;31472;478
687;28523;3250
688;28550;3340
689;43593;4150
690;30930;1090
691;31528;370
692;40684;7228
693;31073;811
694;29593;2269
695;29370;2449
696;41074;6823
697;27992;3871
698;42481;5356
699;43033;4834
700;29183;2638
701;28855;2998
702;42711;5149
703;27440;4492
704;42935;4843
705;42209;5725
706;29417;2440
707;39105;8767
708;29863;1999
709;42230;5536
710;41575;6355
711;27754;4096
712;39475;8335
713;40584;7255
714;39253;8587
715;43545;4267
716;43191;4591
717;39562;8281
718;41013;6886
719;39323;8461
720;28653;3223
721;29481;2485
722;39193;8704
723;42266;5581
724;30830;1063
725;39491;8362
726;43500;4330
727;44150;3682
728;42449;5419
729;30172;1639
730;30055;1738
731;39316;8515
732;42808;5104
733;31423;442
734;42176;5716
735;29639;2098
736;29787;2017
737;26664;5239
738;28236;3664
739;41694;6247
740;28647;3349
741;29859;1954
742;41624;6202
743;42142;5770
744;40302;7507
745;41613;6391
746;40422;7399
747;40017;7804
748;29592;2260
749;43689;4204
750;43009;4852
751;29105;2854
752;39728;8146
753;31273;568
754;31444;433
755;28998;2809
756;39630;8254
757;44682;3124
758;43745;4132
759;30147;1711
760;42631;5221
761;41282;6661
762;31638;334
763;39961;7885
764;41890;5869
765;30625;1270
766;30016;1873
767;30787;1072
768;39348;8578
769;40067;7714
770;30828;1045
771;29606;2278
772;29722;2170
773;40133;7741
774;42029;5806
775;29659;2215
776;30207;1594
777;39355;8497
778;41094;6742
779;42240;5680
780;31112;712
781;40799;7057
782;28645;3151
783;43522;4393
784;40366;7534
785;42356;5563
786;30211;1567
787;30717;1189
788;41233;6598
789;41878;5995
790;27705;4177
791;31447;451
792;41203;6697
793;40276;7561
794;30056;1828
795;31543;406
796;29556;2350
797;44055;3880
798;31763;154
799;39418;8605
800;40341;7543
801;42665;5230
802;40807;7003
803;30501;1351
804;28848;3043
805;39605;8308
806;31731;208
