#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;11
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11;7723
1;21;3637
2;7;145
3;15;5221
4;13;6616
5;8;226
6;7;280
7;13;6472
8;22;8398
9;17;5806
10;14;4969
11;12;802
12;14;1648
13;16;1954
14;14;5734
15;14;5410
16;27;8182
17;8;7768
18;4;190
19;11;4888
20;11;973
21;9;3439
22;14;9037
23;11;9001
24;8;7147
25;10;4609
26;7;955
27;9;1009
28;9;3250
29;16;3331
30;10;6418
31;8;3097
32;10;2377
33;11;2665
34;14;5878
35;23;8299
36;10;3187
37;11;3979
38;6;1576
39;5;694
40;4;496
41;10;3430
42;11;4789
43;9;2944
44;14;5302
45;9;4951
46;3;622
47;13;7894
48;11;5068
49;10;4636
50;10;4123
51;12;3124
52;10;3034
53;6;1180
54;14;5671
55;3;118
56;9;667
57;11;5329
58;8;2782
59;8;3268
60;9;4447
61;8;1135
62;13;8047
63;11;3835
64;7;1495
65;9;7048
66;8;1639
67;9;5113
68;5;982
69;11;3880
70;9;1315
71;7;1261
72;10;2206
73;13;2557
74;9;2818
75;7;1702
76;9;5752
77;7;964
78;10;6904
79;11;2044
80;11;1801
81;8;1216
82;9;1549
83;14;3934
84;11;2503
85;9;2188
86;9;1558
87;9;7120
88;10;4222
89;11;2251
90;10;1675
91;12;8578
92;5;559
93;10;4690
94;9;6481
95;8;4384
96;16;2710
97;16;6832
98;9;5356
99;10;8254
100;9;4546
101;13;6940
102;11;1072
103;11;1945
104;11;9010
105;11;1963
106;10;8776
107;14;4816
108;11;3952
109;12;5563
110;10;2854
111;9;3088
112;10;5833
113;8;3610
114;19;2359
115;10;1846
116;8;2512
117;14;4717
118;10;4960
119;11;3970
120;8;2800
121;9;3646
122;10;3448
123;20;739
124;14;8029
125;9;3997
126;9;3475
127;9;4159
128;8;4906
129;15;5320
130;10;3484
131;13;5977
132;12;5509
133;9;6202
134;16;6283
135;11;2467
136;14;8812
137;10;4114
138;9;5446
139;8;5581
140;3;343
141;13;2683
142;15;8470
143;10;1756
144;9;3592
145;11;1729
146;12;3502
147;10;4051
148;12;6571
149;8;2098
150;13;7057
151;7;838
152;8;7534
153;7;5059
154;10;4186
155;11;7462
156;13;2989
157;11;5905
158;10;4735
159;8;2296
160;18;8821
161;10;2827
162;13;8380
163;10;2908
164;9;6553
165;9;4627
166;9;7156
167;12;3754
168;12;7660
169;4;451
170;12;2620
171;8;1117
172;7;4204
173;7;1990
174;15;3403
175;16;6535
176;5;505
177;5;442
178;11;6544
179;3;154
180;4;514
181;9;8533
182;3;541
183;9;3862
184;15;7651
185;11;892
186;17;6076
187;8;874
188;16;4465
189;13;2116
190;18;7849
191;18;3871
192;16;6157
193;17;6769
194;12;1657
195;17;5347
196;14;3223
197;13;1873
198;11;1063
199;20;1927
200;664;5284
201;16;3016
202;16;2521
203;14;3556
204;6;100
205;14;2395
206;14;2107
207;17;4411
208;16;7759
209;15;784
210;18;8353
211;7;406
212;10;2269
213;15;8623
214;13;6814
215;9;1594
216;8;2764
217;11;2611
218;10;7399
219;14;7318
220;17;6211
221;10;2971
222;9;2530
223;8;4474
224;8;1162
225;8;3232
226;11;3340
227;9;3043
228;3;424
229;15;7552
230;11;1108
231;10;4501
232;13;7993
233;10;5527
234;10;5158
235;7;1909
236;10;4366
237;8;4033
238;18;3493
239;11;8263
240;11;4762
241;10;2593
242;14;7489
243;7;1090
244;13;3205
245;11;6274
246;9;4357
247;9;6652
248;13;3547
249;13;8677
250;8;1882
251;5;775
252;10;2134
253;9;4753
254;9;2287
255;5;1198
256;7;1342
257;12;5914
258;10;2998
259;11;3277
260;11;1099
261;12;8137
262;10;1837
263;9;7984
264;10;6238
265;10;4285
266;13;4015
267;10;2125
268;9;8218
269;8;2890
270;15;4852
271;16;5590
272;11;6715
273;10;4528
274;3;316
275;8;5860
276;15;5986
277;14;7138
278;13;8875
279;9;6319
280;8;2926
281;12;7309
282;14;8596
283;3;271
284;10;6706
285;7;3457
286;3;415
287;8;4456
288;10;2836
289;16;5167
290;9;1684
291;11;6004
292;10;3772
293;9;7183
294;15;3538
295;9;4564
296;13;6175
297;9;2584
298;12;3898
299;9;8650
300;3;469
301;11;5941
302;12;2755
303;9;2422
304;11;5239
305;9;1855
306;11;3061
307;3;235
308;11;9073
309;10;6598
310;11;2674
311;9;3241
312;9;8722
313;6;1666
314;8;5212
315;12;7777
316;13;8551
317;4;1153
318;9;7174
319;12;8974
320;11;4591
321;10;2323
322;11;7705
323;9;5104
324;16;8731
325;13;5473
326;12;2791
327;11;5995
328;11;4996
329;8;1288
330;4;910
331;11;6409
332;13;6895
333;11;2809
334;6;1351
335;10;3160
336;9;4555
337;8;4006
338;7;2368
339;12;7354
340;11;3007
341;12;8920
342;9;7876
343;3;289
344;10;5383
345;11;7372
346;10;856
347;8;793
348;12;4672
349;12;5887
350;9;2719
351;9;7561
352;4;676
353;8;811
354;10;3889
355;7;2008
356;13;6436
357;12;7336
358;7;1540
359;16;8452
360;9;2278
361;9;2170
362;14;3367
363;232;199
364;8;3385
365;19;8479
366;14;3988
367;26;7615
368;15;4492
369;20;7426
370;13;3358
371;19;7525
372;33;7939
373;17;1936
374;23;3781
375;17;4681
376;17;6985
377;13;1972
378;23;2026
379;21;8506
380;16;6067
381;1073;6643
382;12;5491
383;28;7237
384;11;6292
385;10;6562
386;14;5608
387;12;6931
388;21;4420
389;10;5842
390;7;1918
391;13;7750
392;12;1036
393;9;3907
394;18;5095
395;10;6976
396;6;2242
397;11;6121
398;9;6850
399;10;5230
400;4;253
401;10;7066
402;12;6625
403;10;5311
404;9;3151
405;7;5149
406;10;2962
407;6;820
408;17;6607
409;9;8074
410;10;5482
411;10;7948
412;8;5707
413;14;4807
414;10;4294
415;8;1522
416;8;6382
417;7;991
418;6;2737
419;6;703
420;20;3700
421;699;3565
422;12;8785
423;9;3619
424;7;6040
425;3;937
426;20;2638
427;304;631
428;7;1630
429;198;757
430;10;3259
431;11;8803
432;6;2548
433;3;712
434;7;4699
435;17;3826
436;12;7606
437;10;8038
438;7;6103
439;9;8866
440;14;5644
441;8;4042
442;11;5536
443;8;3961
444;10;6688
445;11;8065
446;9;3808
447;10;4267
448;8;4618
449;10;8326
450;28;1369
451;13;8857
452;8;3511
453;9;5257
454;9;6022
455;21;7093
456;5;397
457;7;2485
458;12;8281
459;7;7273
460;10;8191
461;9;6742
462;12;7012
463;10;4573
464;7;1306
465;7;7624
466;7;1468
467;9;7930
468;12;6913
469;9;8497
470;11;6823
471;828;7102
472;13;6670
473;11;6148
474;7;4078
475;10;4231
476;11;8056
477;8;1405
478;9;3169
479;10;5698
480;7;4663
481;8;2440
482;3;352
483;14;4105
484;9;4933
485;14;3304
486;4;307
487;8;1378
488;9;8560
489;7;5428
490;19;6805
491;10;5455
492;7;568
493;8;4537
494;4;847
495;11;1765
496;9;6751
497;7;3286
498;12;6373
499;14;7264
500;10;5968
501;8;3322
502;6;1693
503;8;6697
504;12;2161
505;11;6679
506;10;6058
507;8;4312
508;8;5851
509;30;5176
510;10;2845
511;8;2053
512;10;3682
513;13;7957
514;9;6922
515;11;1792
516;31;7678
517;14;8488
518;7;1486
519;19;8614
520;17;7822
521;23;1270
522;8;181
523;18;5779
524;591;3673
525;394;532
526;13;6247
527;23;7507
528;19;5419
529;15;5869
530;14;6508
531;14;3916
532;10;721
533;24;8317
534;13;1747
535;21;7327
536;15;4096
537;12;2314
538;15;5185
539;15;5896
540;8;5374
541;16;7831
542;11;8641
543;10;4942
544;13;3727
545;11;6877
546;13;6391
547;8;3313
548;8;6517
549;9;7579
550;12;7966
551;3;136
552;13;6958
553;9;6031
554;3;550
555;22;7021
556;1963;2953
557;10;4519
558;7;883
559;9;7003
560;7;5923
561;9;2080
562;10;6328
563;13;6094
564;10;1225
565;11;7480
566;6;5770
567;3;361
568;8;6580
569;14;5617
570;10;6778
571;9;6589
572;6;3529
573;14;8938
574;15;5338
575;11;7867
576;9;1459
577;7;2647
578;10;5365
579;11;2458
580;14;7030
581;9;3133
582;12;5824
583;8;5392
584;7;4600
585;8;6013
586;12;6049
587;3;325
588;11;7840
589;5;730
590;8;6661
591;4;1054
592;86;1252
593;23;8164
594;10;7219
595;7;2386
596;10;3106
597;3;604
598;7;6220
599;23;4132
600;6;1900
601;14;8092
602;9;3853
603;8;1234
604;8;2215
605;9;5545
606;4;1144
607;9;1783
608;20;7498
609;10;4915
610;4;685
611;10;6427
612;3;577
613;8;1450
614;3;298
615;8;1126
616;20;8272
617;12;5725
618;13;8200
619;9;8848
620;3;172
621;15;4708
622;14;2602
623;14;8335
624;10;7363
625;8;3925
626;20;8227
627;9;3025
628;10;2629
629;455;6130
630;10;5131
631;7;4375
632;5;2332
633;3;487
634;9;6166
635;7;1414
636;12;8425
637;9;3709
638;10;6265
639;11;6337
640;12;4771
641;11;8101
642;8;4177
643;11;8911
644;10;5932
645;11;6256
646;10;8371
647;10;1027
648;7;6787
649;92;2980
650;14;7795
651;3;217
652;11;5464
653;9;4330
654;7;5014
655;15;5743
656;12;1243
657;13;8020
658;8;1621
659;12;6760
660;9;7687
661;12;8308
662;12;4744
663;6;1423
664;10;5023
665;10;7912
666;11;8461
667;11;8416
668;8;3394
669;3;766
670;9;4141
671;6;2899
672;11;9064
673;14;4843
674;11;7588
675;11;7165
676;8;3799
677;15;2017
678;14;2449
679;18;2494
680;47;7696
681;18;748
682;16;5599
683;14;3295
684;18;2935
685;12;1207
686;12;613
687;37;8524
688;14;5518
689;16;5950
690;20;7669
691;23;4195
692;180;1603
693;17;5140
694;13;1864
695;14;8389
696;1866;2305
697;19;6994
698;9;7570
699;10;5086
700;9;5077
701;12;7390
702;9;8605
703;4;919
704;7;3718
705;8;4870
706;13;6463
707;21;7435
708;28;3421
709;5;109
710;8;4645
711;8;1891
712;7;946
713;6;1324
714;11;2413
715;12;8632
716;20;7255
717;6;1045
718;8;5662
719;11;7714
720;10;6841
721;8;2881
722;4;388
723;5;478
724;11;8983
725;11;8767
726;8;2431
727;3;829
728;8;7417
729;11;4582
730;9;2341
731;6;1387
732;8;901
733;9;8002
734;9;4987
735;10;7300
736;15;2692
737;8;1018
738;8;1360
739;14;8542
740;11;4069
741;7;1819
742;7;3178
743;12;7642
744;10;2152
745;9;3070
746;12;7453
747;8;8830
748;8;4087
749;10;7516
750;6;865
751;11;8434
752;8;2143
753;10;6967
754;6;4834
755;15;8569
756;115;3664
757;8;6085
758;4;595
759;9;8128
760;10;3079
761;7;2089
762;15;7246
763;656;4348
764;9;7192
765;10;6139
766;8;5554
767;14;5689
768;11;7741
769;8;5635
770;23;8146
771;11;9055
772;12;5815
773;8;7921
774;6;1738
775;10;7633
776;14;9028
777;7;1720
778;9;2062
779;9;1000
780;8;3214
781;8;5761
782;51;2071
783;12;7444
784;11;8209
785;4;433
786;10;8965
787;13;4276
788;17;5500
789;8;4168
790;12;6634
791;10;3196
792;7;2701
793;6;2404
794;12;1171
795;5;379
796;4;523
797;8;5005
798;13;8155
799;3;334
800;9;5032
801;5;928
802;8;7345
803;4;1189
804;11;5266
805;40;4879
806;11;6445
807;11;6184
808;8;4726
809;11;7813
810;5;658
811;7;1504
812;13;8740
813;8;8902
814;11;8659
815;11;7471
816;11;2917
817;9;8344
818;7;3691
819;28;3763
820;15;5401
821;8;4438
822;8;2233
823;10;6400
824;8;8893
825;9;5788
826;7;3142
827;6;8290
828;5;3520
829;9;9091
830;1307;4924
831;10;6868
832;9;7228
833;4;262
834;45;8929
835;8;7084
836;8;2575
837;6;4798
838;13;4303
839;7;1711
840;17;7804
841;77;3376
842;8;1081
843;6;3601
844;14;6859
845;10;3628
846;8;3412
847;9;3844
848;11;8686
849;12;8839
850;10;6454
851;7;1396
852;6;4213
853;16;7111
854;14;5716
855;10;7039
856;10;1477
857;7;5275
858;7;1828
859;25;8245
860;14;3466
861;7;4249
862;10;6490
863;8;6346
864;11;4393
865;13;5626
866;9;1567
867;13;6796
868;9;8992
869;10;8011
870;8;2179
871;12;8110
872;8;4240
873;7;8362
874;11;8956
875;11;1585
876;12;3745
877;10;2872
878;8;7975
879;7;4402
880;29;4060
881;8;208
882;7;1612
883;18;4339
884;12;8749
885;8;7732
886;25;5293
887;1213;3736
888;12;2566
889;4;163
890;12;6229
891;9;7543
892;8;4825
893;14;8236
894;8;649
895;11;8119
896;12;8173
897;7;3052
898;9;5122
899;9;2728
900;14;8713
901;9;3349
902;471;586
903;7;5248
904;11;8884
905;12;6886
906;12;7129
907;7;6193
908;11;9019
909;14;8443
910;12;4897
911;6;2539
912;6;4258
913;3;460
914;23;5797
915;7;2350
916;12;5572
917;6;640
918;9;4321
919;10;1531
920;8;5194
921;17;7885
922;7;4510
923;11;7786
924;10;1513
925;10;8794
926;11;5680
927;10;3115
928;13;8587
929;10;4483
930;9;2035
931;7;2476
932;13;8515
933;11;8695
934;9;7291
935;10;8704
936;7;3943
937;9;6499
