counter,latency,delayTime,Device,Button
0,11,5671,Adafruit_Feather_32u4,3
1,9,1324,Adafruit_Feather_32u4,3
2,12,1711,Adafruit_Feather_32u4,3
3,9,2557,Adafruit_Feather_32u4,3
4,14,1846,Adafruit_Feather_32u4,3
5,10,658,Adafruit_Feather_32u4,3
6,9,226,Adafruit_Feather_32u4,3
7,12,1918,Adafruit_Feather_32u4,3
8,9,442,Adafruit_Feather_32u4,3
9,14,7714,Adafruit_Feather_32u4,3
10,11,4852,Adafruit_Feather_32u4,3
11,8,937,Adafruit_Feather_32u4,3
12,9,874,Adafruit_Feather_32u4,3
13,16,5941,Adafruit_Feather_32u4,3
14,14,5068,Adafruit_Feather_32u4,3
15,22,5644,Adafruit_Feather_32u4,3
16,14,2179,Adafruit_Feather_32u4,3
17,8,163,Adafruit_Feather_32u4,3
18,28,5149,Adafruit_Feather_32u4,3
19,16,5464,Adafruit_Feather_32u4,3
20,14,2323,Adafruit_Feather_32u4,3
21,11,3214,Adafruit_Feather_32u4,3
22,13,4258,Adafruit_Feather_32u4,3
23,11,8011,Adafruit_Feather_32u4,3
24,12,5419,Adafruit_Feather_32u4,3
25,24,1549,Adafruit_Feather_32u4,3
26,8,7300,Adafruit_Feather_32u4,3
27,8,6877,Adafruit_Feather_32u4,3
28,8,5374,Adafruit_Feather_32u4,3
29,10,6085,Adafruit_Feather_32u4,3
30,13,6157,Adafruit_Feather_32u4,3
31,6,901,Adafruit_Feather_32u4,3
32,5,793,Adafruit_Feather_32u4,3
33,9,1567,Adafruit_Feather_32u4,3
34,9,1279,Adafruit_Feather_32u4,3
35,17,865,Adafruit_Feather_32u4,3
36,12,1468,Adafruit_Feather_32u4,3
37,9,3736,Adafruit_Feather_32u4,3
38,588,415,Adafruit_Feather_32u4,3
39,547,334,Adafruit_Feather_32u4,3
40,10,3916,Adafruit_Feather_32u4,3
41,10,6391,Adafruit_Feather_32u4,3
42,9,8812,Adafruit_Feather_32u4,3
43,12,2935,Adafruit_Feather_32u4,3
44,13,8254,Adafruit_Feather_32u4,3
45,10,2737,Adafruit_Feather_32u4,3
46,11,8389,Adafruit_Feather_32u4,3
47,14,6724,Adafruit_Feather_32u4,3
48,9,1684,Adafruit_Feather_32u4,3
49,82,7615,Adafruit_Feather_32u4,3
50,10,6868,Adafruit_Feather_32u4,3
51,9,4393,Adafruit_Feather_32u4,3
52,1097,100,Adafruit_Feather_32u4,3
53,16,1018,Adafruit_Feather_32u4,3
54,10,5428,Adafruit_Feather_32u4,3
55,12,4285,Adafruit_Feather_32u4,3
56,8,3628,Adafruit_Feather_32u4,3
57,9,5311,Adafruit_Feather_32u4,3
58,17,7786,Adafruit_Feather_32u4,3
59,11,613,Adafruit_Feather_32u4,3
60,12,5212,Adafruit_Feather_32u4,3
61,5,730,Adafruit_Feather_32u4,3
62,8,2989,Adafruit_Feather_32u4,3
63,8,2449,Adafruit_Feather_32u4,3
64,9,3277,Adafruit_Feather_32u4,3
65,9,5689,Adafruit_Feather_32u4,3
66,15,6742,Adafruit_Feather_32u4,3
67,7,3826,Adafruit_Feather_32u4,3
68,11,2215,Adafruit_Feather_32u4,3
69,12,8929,Adafruit_Feather_32u4,3
70,9,8443,Adafruit_Feather_32u4,3
71,7,2017,Adafruit_Feather_32u4,3
72,16,7957,Adafruit_Feather_32u4,3
73,16,4483,Adafruit_Feather_32u4,3
74,11,6931,Adafruit_Feather_32u4,3
75,8,2854,Adafruit_Feather_32u4,3
76,7,3844,Adafruit_Feather_32u4,3
77,7,2593,Adafruit_Feather_32u4,3
78,10,4276,Adafruit_Feather_32u4,3
79,28,4915,Adafruit_Feather_32u4,3
80,17,1819,Adafruit_Feather_32u4,3
81,14,2719,Adafruit_Feather_32u4,3
82,10,5797,Adafruit_Feather_32u4,3
83,10,6193,Adafruit_Feather_32u4,3
84,10,7876,Adafruit_Feather_32u4,3
85,13,3187,Adafruit_Feather_32u4,3
86,11,1387,Adafruit_Feather_32u4,3
87,8,5275,Adafruit_Feather_32u4,3
88,11,3385,Adafruit_Feather_32u4,3
89,10,8848,Adafruit_Feather_32u4,3
90,9,7894,Adafruit_Feather_32u4,3
91,9,4042,Adafruit_Feather_32u4,3
92,10,6652,Adafruit_Feather_32u4,3
93,9,2404,Adafruit_Feather_32u4,3
94,14,6796,Adafruit_Feather_32u4,3
95,16,4582,Adafruit_Feather_32u4,3
96,8,5446,Adafruit_Feather_32u4,3
97,12,5869,Adafruit_Feather_32u4,3
98,7,2116,Adafruit_Feather_32u4,3
99,9,4672,Adafruit_Feather_32u4,3
100,7,1576,Adafruit_Feather_32u4,3
101,6,1720,Adafruit_Feather_32u4,3
102,6,4096,Adafruit_Feather_32u4,3
103,11,3610,Adafruit_Feather_32u4,3
104,15,1144,Adafruit_Feather_32u4,3
105,12,5680,Adafruit_Feather_32u4,3
106,13,8803,Adafruit_Feather_32u4,3
107,9,2548,Adafruit_Feather_32u4,3
108,7,8029,Adafruit_Feather_32u4,3
109,17,8686,Adafruit_Feather_32u4,3
110,11,8965,Adafruit_Feather_32u4,3
111,8,5356,Adafruit_Feather_32u4,3
112,7,4159,Adafruit_Feather_32u4,3
113,11,5365,Adafruit_Feather_32u4,3
114,5,1261,Adafruit_Feather_32u4,3
115,7,2287,Adafruit_Feather_32u4,3
116,16,7813,Adafruit_Feather_32u4,3
117,7,5473,Adafruit_Feather_32u4,3
118,7,4618,Adafruit_Feather_32u4,3
119,7,3673,Adafruit_Feather_32u4,3
120,10,8920,Adafruit_Feather_32u4,3
121,12,8542,Adafruit_Feather_32u4,3
122,9,7120,Adafruit_Feather_32u4,3
123,7,3205,Adafruit_Feather_32u4,3
124,4,1342,Adafruit_Feather_32u4,3
125,9,7669,Adafruit_Feather_32u4,3
126,5,991,Adafruit_Feather_32u4,3
127,9,3133,Adafruit_Feather_32u4,3
128,12,8182,Adafruit_Feather_32u4,3
129,8,2413,Adafruit_Feather_32u4,3
130,8,4267,Adafruit_Feather_32u4,3
131,19,6940,Adafruit_Feather_32u4,3
132,10,5923,Adafruit_Feather_32u4,3
133,6,4735,Adafruit_Feather_32u4,3
134,9,7084,Adafruit_Feather_32u4,3
135,7,3043,Adafruit_Feather_32u4,3
136,9,5392,Adafruit_Feather_32u4,3
137,10,1108,Adafruit_Feather_32u4,3
138,8,5743,Adafruit_Feather_32u4,3
139,7,2152,Adafruit_Feather_32u4,3
140,11,3403,Adafruit_Feather_32u4,3
141,9,4249,Adafruit_Feather_32u4,3
142,23,8056,Adafruit_Feather_32u4,3
143,9,2899,Adafruit_Feather_32u4,3
144,16,5347,Adafruit_Feather_32u4,3
145,11,8650,Adafruit_Feather_32u4,3
146,10,2296,Adafruit_Feather_32u4,3
147,10,1594,Adafruit_Feather_32u4,3
148,10,8191,Adafruit_Feather_32u4,3
149,14,8524,Adafruit_Feather_32u4,3
150,15,6148,Adafruit_Feather_32u4,3
151,8,2188,Adafruit_Feather_32u4,3
152,3,343,Adafruit_Feather_32u4,3
153,5,703,Adafruit_Feather_32u4,3
154,5,802,Adafruit_Feather_32u4,3
155,5,838,Adafruit_Feather_32u4,3
156,6,3232,Adafruit_Feather_32u4,3
