#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;5
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;140797;7687
1;148136;793
2;143242;6688
3;148242;703
4;148950;1000
5;143591;5509
6;144855;4087
7;144877;5050
8;146510;2422
9;147191;2737
10;146254;2674
11;140606;8272
12;145438;4537
13;148687;253
14;149553;397
15;146645;2314
16;148471;550
17;147598;2269
18;146187;2701
19;145842;4141
20;140993;7993
21;143276;5716
22;147905;2134
23;148443;541
24;144738;5266
25;147661;1324
26;141862;7138
27;140889;9073
28;144303;4699
29;142972;6994
30;143927;5068
31;145174;3781
32;146799;3160
33;141227;7732
34;145444;4546
35;146856;2107
36;147781;1207
37;149361;604
38;145545;3430
39;143398;6571
40;143473;5518
41;144243;4726
42;140972;9019
43;143135;5752
44;146580;3412
45;143420;5563
46;142903;6121
47;144641;5410
48;145203;3772
49;147544;2431
50;146820;2152
51;144044;4924
52;144289;5761
53;142894;6067
54;140449;8533
55;144285;5680
56;146806;2170
57;143044;6922
58;145757;3223
59;140762;8200
60;143654;6337
61;146443;2530
62;149835;190
63;145162;3808
64;147516;1387
65;142009;7903
66;147176;1783
67;146726;3205
68;145901;3052
69;142950;5995
70;142627;7273
71;140534;8470
72;143077;6949
73;148833;136
74;140666;8290
75;143329;6625
76;148048;901
77;142777;7165
78;148299;649
79;143773;5167
80;145711;4249
81;140190;8749
82;148931;1036
83;146912;2035
84;140063;8884
85;144311;5653
86;144108;4861
87;146769;3187
88;147089;1873
89;147145;1810
90;140855;9091
91;145619;3349
92;145185;4780
93;146345;2557
94;144232;4690
95;149399;577
96;148236;730
97;143476;6472
98;140326;8587
99;142307;6652
100;146599;3367
101;148096;865
102;148636;334
103;149536;442
104;145230;3736
105;145531;4429
106;141676;7282
107;145194;3763
108;143749;6202
109;144725;4213
110;148704;1243
111;148365;595
112;148114;874
113;149568;379
114;145443;3502
115;148795;1171
116;144835;4123
117;142902;6058
118;144629;5347
119;142983;5986
120;145552;4411
121;142348;6670
122;142302;6661
123;146514;3439
124;146722;2224
125;144879;5104
126;148698;271
127;140023;8938
128;141996;7957
129;148834;127
130;146824;3133
131;145513;3493
132;147223;1648
133;144249;5707
134;144812;4150
135;145497;4474
136;141493;7471
137;143459;5500
138;148082;1891
139;144323;4636
140;144704;5275
141;145403;3583
142;140527;8452
143;142432;7552
144;144020;4942
145;145661;4348
146;148340;613
147;140821;8137
148;145050;4906
149;146100;2854
150;147750;2215
151;140170;8794
152;147272;1684
153;144585;5374
154;146001;2962
155;141590;7390
156;144684;5293
157;146339;2629
158;145897;4069
159;148313;667
160;141988;6985
161;148830;1144
162;140877;8092
163;149810;163
164;143396;5572
165;139889;9082
166;141129;8839
167;141251;7723
168;143165;6805
169;146345;2584
170;145792;3151
171;142409;7588
172;145336;3574
173;142637;7327
174;140954;8011
175;143109;5860
176;142946;7030
177;141608;7354
178;144142;5824
179;143118;5851
180;142628;6364
181;142545;7417
182;143409;5545
183;142514;7444
184;141944;7012
185;147270;1693
186;145940;4024
187;143650;5311
188;147782;2188
189;142120;6841
190;141509;7453
191;148476;1495
192;141345;7606
193;144724;5248
194;146434;2512
195;147856;1063
196;146258;3682
197;145033;3898
198;145161;4807
199;141108;7813
200;147349;1630
201;149829;145
202;142452;6517
203;146861;3115
204;144311;4672
205;148154;811
206;147798;2179
207;147135;1828
208;144952;5014
209;143690;5284
210;145869;3106
211;149270;757
212;143029;5932
213;148872;1180
214;142421;6544
215;147212;1756
216;144219;5734
217;147023;1936
218;146362;2611
219;147190;2782
220;146844;2116
221;143637;6328
222;145095;3871
223;145309;3646
224;145967;3997
225;143134;5815
226;145646;4330
227;141610;7345
228;147236;1738
229;145075;4888
230;148044;928
231;141069;8902
232;140919;8056
233;143500;5455
234;147517;2449
235;143996;4969
236;147102;2863
237;145320;3637
238;146490;2476
239;146377;3601
240;144305;4663
241;147894;2071
242;147552;1405
243;146709;2260
244;149711;262
245;147455;1513
246;141337;8623
247;142158;6814
248;143046;5923
249;145140;4825
250;145593;3376
251;142914;7039
252;143366;5599
253;144865;4096
254;148425;1531
255;144393;4564
256;141846;8110
257;147253;1702
258;145542;3421
259;147199;2755
260;144315;4627
261;142414;7534
262;145670;3277
263;145880;3070
264;148675;1288
265;143541;5419
266;145550;4420
267;143327;5635
268;143565;5401
269;142493;7480
270;142542;6427
271;140638;8326
