#Mode:;3
#Device:;Adafruit_Feather_32u4
#Button:;5
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11;7426
1;12;4933
2;14;1783
3;10;3619
4;10;3349
5;10;7507
6;828;3772
7;9;4627
8;17;2827
9;11;820
10;14;5797
11;13;5437
12;7;541
13;1063;6112
14;14;1117
15;14;5140
16;16;1306
17;15;2629
18;16;3889
19;12;4600
20;13;4888
21;17;3628
22;12;1450
23;15;3178
24;15;3538
25;15;6679
26;7;100
27;12;4492
28;16;2683
29;33;8560
30;16;2080
31;10;1342
32;8;3457
33;10;4024
34;8;2647
35;9;3232
36;10;5707
37;23;7570
38;9;7804
39;5;1396
40;13;6319
41;10;8587
42;9;8713
43;8;6067
44;6;4321
45;5;2143
46;6;2035
47;12;3475
48;5;1378
49;13;5347
50;910;6733
51;8;1414
52;8;6931
53;9;5275
54;11;5860
55;13;4708
56;12;3574
57;10;8326
58;9;6094
59;25;6490
60;6;3799
61;14;7840
62;6;1900
63;10;1432
64;12;9001
65;12;7615
66;7;6805
67;12;8263
68;10;4438
69;8;1567
70;20;2953
71;21;5491
72;11;7048
73;5;3466
74;19;6508
75;31;7219
76;15;3304
77;11;5743
78;11;4753
79;8;2377
80;635;478
81;9;3637
82;12;4195
83;9;5257
84;11;2989
85;10;1792
86;13;4015
87;12;6022
88;12;5365
89;4;298
90;17;7030
91;18;8452
92;1732;2890
93;10;3097
94;10;5446
95;7;2170
96;10;7669
97;9;5833
98;17;7894
99;14;4654
100;6;964
101;14;3196
102;11;6859
103;11;7984
104;8;2215
105;7;3169
106;12;5878
107;19;6706
108;10;4114
109;9;2449
110;12;5716
111;10;2710
112;4;766
113;9;7165
114;23;4222
115;18;2251
116;17;3115
117;13;8596
118;12;4834
119;10;3403
120;7;1558
121;41;4249
122;15;3016
123;10;2872
124;7;5662
125;2;415
126;8;2602
127;4;343
128;8;2125
129;13;7435
130;32;5500
131;12;8425
132;12;5005
133;7;3259
134;7;1000
135;3;136
136;3;577
137;10;2350
138;31;8740
139;8;3547
140;7;1441
141;12;5230
142;10;3070
143;3;145
144;9;3295
145;10;2962
146;10;6175
147;15;4456
148;24;6076
149;14;4861
150;9;2107
151;10;4258
152;7;1666
153;9;5266
154;18;3160
155;18;3502
156;10;7714
157;15;6940
158;8;1747
159;10;3916
160;19;6850
161;12;2620
162;11;4798
163;10;8821
164;10;5356
165;28;5068
166;16;2791
167;11;4573
168;9;2242
169;10;4186
170;10;2188
171;9;4042
172;11;5248
173;14;6427
174;16;4132
175;5;622
176;15;4384
177;5;793
178;10;3844
179;12;5374
180;12;2026
181;840;7993
182;10;8479
183;11;2701
184;15;7129
185;8;2071
186;10;2521
187;11;6211
188;11;6454
189;9;3151
190;6;5086
191;7;1594
192;10;4366
193;33;4546
194;10;1297
195;8;379
196;9;2044
197;10;3646
198;10;2530
199;10;2341
200;8;1495
201;9;1288
202;5;316
203;11;8983
204;18;8380
205;16;7705
206;12;5644
207;10;2944
208;33;7750
209;10;1936
210;9;5032
211;26;8848
212;13;4960
213;5;901
214;30;6886
215;23;352
216;18;2971
217;7;3124
218;11;1504
219;11;3727
220;10;6184
221;17;7147
222;27;3997
223;9;1846
224;12;5995
225;9;3025
226;9;4267
227;14;8218
228;7;2296
229;9;6841
230;11;5041
