#Mode:;3
#Device:;Empirisoft_Corporation_Analog_Scale_Device
#Button:;305
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;8184913;7030
1;2080;865
2;1980;1954
3;1282;631
4;2063;3871
5;1355;3574
6;1209;6715
7;2006;937
8;1218;2683
9;1434;4483
10;2010;1891
11;1226;1603
12;1754;163
13;1506;424
14;1909;4960
15;1936;6148
16;1684;217
17;2064;1882
18;1589;3331
19;1222;5743
20;1352;3592
21;1759;7138
22;1433;3520
23;1359;676
24;2133;6805
25;1161;1783
26;1853;4132
27;1686;5185
28;1978;4942
29;2114;1819
30;1797;8101
31;1508;325
32;1654;208
33;1328;7597
34;1994;6958
35;1250;5662
36;1852;1090
37;1515;2422
38;1369;1585
39;1818;8218
40;1309;4600
41;2051;1900
42;1910;2998
43;2111;7768
44;1854;6067
45;1436;469
46;1978;7948
47;1729;1225
48;1382;7579
49;1706;2206
50;1267;8677
51;1659;5239
52;1648;5302
53;1161;4816
54;1463;541
55;1862;3079
56;1788;6085
57;1163;5752
58;1972;2962
59;1320;3601
60;1711;5176
61;1367;3547
62;1516;8443
63;1445;6409
64;1163;5788
65;1419;7507
66;1183;793
67;1643;8281
68;1979;7894
69;1722;8209
70;2055;5878
71;1639;1270
72;1176;6769
73;1642;2323
74;2054;2926
75;1842;118
76;1169;5815
77;2061;928
78;1438;7480
79;1228;667
80;1901;5968
81;1519;2395
82;1374;2548
83;1707;2242
84;1506;1459
85;1929;6004
86;1589;5320
87;1711;6265
88;1162;775
89;1310;5590
90;1658;7246
91;1706;3286
92;1368;2602
93;1464;5401
94;1853;1072
95;1778;8155
96;1755;8164
97;1172;7750
98;1569;7417
99;1564;406
100;1166;757
101;2058;5806
102;2118;2737
103;2001;4015
104;1299;613
105;1993;5896
106;1581;3358
107;1503;3457
108;1401;6490
109;1785;8110
110;1879;4123
111;1264;5626
112;1925;3988
113;1994;1909
114;1193;1729
115;1295;1630
116;1199;8641
117;1431;1495
118;2077;1846
119;1770;3196
120;1836;8047
121;2061;2890
122;1680;3295
123;1762;2170
124;1939;4906
125;2051;3898
126;1653;4204
127;2011;3934
128;1274;5644
129;1793;8137
130;1516;4384
131;1507;2449
132;1314;6607
133;2133;5797
134;1934;8056
135;1650;5293
136;1435;2503
137;1774;154
138;1532;2386
139;2072;8830
140;1297;604
141;1775;1153
142;1951;3016
143;1656;5212
144;1713;2233
145;1916;7048
146;1635;2314
147;1186;4753
148;1714;3259
149;1231;1666
150;1230;1702
151;2172;8785
152;1369;1594
153;1163;1765
154;1711;6247
155;1860;5104
156;1646;307
157;1231;712
158;1610;7336
159;1345;4519
160;1828;7129
161;1530;3403
162;1298;640
163;1598;4357
164;1861;8065
165;2050;4852
166;1233;2710
167;1376;3484
168;1446;3511
169;1441;2467
170;1435;6535
171;1725;4195
172;1378;5482
173;1439;8506
174;1509;4429
175;1309;7615
176;1781;3115
177;1963;7921
178;1520;4411
179;2121;3790
180;1615;8407
181;2132;2845
