#Mode:;3
#Device:;Logitech_Gamepad_F310
#Button:;305
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5993;5914
1;7562;8425
2;6045;1891
3;6978;946
4;6963;4942
5;3793;8083
6;6761;5104
7;4843;7030
8;5664;6265
9;8111;3817
10;6938;5050
11;7637;4285
12;3338;550
13;6200;4564
14;7064;892
15;3458;460
16;6993;4861
17;6694;1171
18;5097;2818
19;7956;2773
20;7452;4474
21;6756;5122
22;5010;6904
23;6560;5383
24;5983;1972
25;4367;3574
26;3534;370
27;7629;4123
28;5459;3358
29;7636;8209
30;3630;4276
31;7775;199
32;6424;1711
33;5050;6814
34;6214;5698
35;5346;7507
36;6024;5905
37;7444;541
38;5249;2665
39;7158;5014
40;7289;4645
41;3078;8866
42;7203;712
43;6552;5356
44;5417;6508
45;5805;2125
46;7753;4186
47;5794;2089
48;10191;1765
49;4382;7480
50;5970;3007
51;7322;4591
52;5050;7048
53;3295;8641
54;6446;5608
55;8109;7822
56;4461;1369
57;4813;3079
58;3056;6031
59;4143;7795
60;4782;3133
61;3023;847
62;9414;6436
63;4862;3043
64;7554;4366
65;4284;7642
66;6028;1864
67;5114;6859
68;7054;4870
69;7602;343
70;7200;703
71;3778;163
72;3648;8281
73;5550;2494
74;6690;5176
75;2794;1180
76;6663;1207
77;5322;6661
78;3710;8182
79;5432;6517
80;9847;2071
81;3032;8920
82;5574;6391
83;2813;1162
84;3996;7930
85;7130;8848
86;3719;8155
87;3024;991
88;7140;4726
89;4863;3223
90;5821;2062
91;6218;5752
92;6560;5293
93;4757;7165
94;6022;1882
95;6231;5743
96;3627;289
97;4267;7633
98;8012;7849
99;7476;478
100;4732;3160
101;2970;1036
102;6794;5068
103;4216;3691
104;5074;2890
105;7547;4411
106;4947;2944
107;6847;1153
108;6301;1612
109;6406;5401
110;6170;1738
111;6815;5113
112;4864;3034
113;4900;6958
114;6102;1792
115;3734;8236
116;3641;8254
117;3913;4024
118;7722;190
119;5872;1963
120;4181;7840
121;4533;3178
122;3605;379
123;3989;7921
124;5546;2413
125;4053;7813
126;3234;8632
127;6937;1009
128;5348;6607
129;5062;2863
130;7250;4672
131;7549;4330
132;3431;4447
133;6532;5185
134;3703;244
135;2867;1099
136;5988;5896
137;7010;4933
138;3083;793
139;5411;6454
140;5725;6373
141;5298;6598
142;6708;5284
143;5553;2350
144;6387;5536
145;5296;2638
146;5580;2386
147;5563;6337
148;6750;5239
149;6169;5716
150;4006;3925
151;7069;8902
152;4525;7399
