#Mode:;3
#Device:;Sony_Computer_Entertainment_Wireless_Controller
#Button:;304
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15087;4753
1;15000;946
2;13327;6544
3;14880;1126
4;13157;6778
5;15654;361
6;15132;4726
7;15608;325
8;15017;883
9;15472;8425
10;15200;4699
11;12983;2989
12;12613;3538
13;14605;1315
14;14256;1693
15;13929;5959
16;14170;5815
17;15550;4321
18;14107;5824
19;14458;1423
20;12131;3817
21;15090;892
22;14502;5437
23;12834;7111
24;14373;5527
25;13565;2233
26;15362;8569
27;15655;163
28;14794;1153
29;15227;703
30;15512;397
31;15154;748
32;11928;3970
33;11780;4168
34;14333;1639
35;12412;7570
36;12955;6985
37;15283;4654
38;14109;5761
39;15670;226
40;14519;1387
41;13559;2332
42;13338;6535
43;15587;379
44;15552;388
45;15285;685
46;14923;9046
47;12629;7327
48;15659;8236
49;14054;5806
50;14943;5005
51;12066;7885
52;12265;7633
53;15342;4510
54;14730;5212
55;14036;1801
56;15334;8515
57;15622;307
58;13149;2845
59;13731;2269
60;12650;3358
61;11794;8200
62;11990;3961
63;12235;7723
64;14558;1342
65;15420;4465
66;15460;8389
67;15419;532
68;14571;1405
69;14262;1729
70;13159;6814
71;13669;2278
72;15087;802
73;13910;2089
74;13857;5977
75;14731;1162
76;11774;4006
77;13349;6283
78;11971;3889
79;13474;2206
80;13630;6211
81;13702;2260
82;15476;8461
83;12093;7840
84;14950;8893
85;14012;1612
86;15555;4402
87;15376;8488
88;13992;5896
89;15575;559
90;13183;2791
91;13857;6103
92;15128;4789
93;14261;5635
94;15142;4816
95;11867;4033
96;13770;2107
97;11843;4060
98;11910;7984
99;13932;1999
100;13129;2863
101;14467;5455
102;13666;6274
103;12156;3709
104;12572;3322
105;15213;8677
106;13292;2629
107;13482;6373
108;14583;5302
109;15021;4915
110;14728;1189
111;14027;1864
112;15368;4600
113;12527;7282
114;15476;4420
115;12478;3385
116;13361;6508
117;15609;4330
118;13177;2773
119;14095;1819
120;15739;8218
121;12403;7489
122;11854;7957
123;12161;7714
124;14530;5410
125;13786;2197
126;15029;8947
127;13463;6463
128;14251;1648
129;15108;4618
130;13570;2287
131;14602;1270
132;12996;6868
133;15652;4294
134;13549;2386
135;12095;3880
136;14565;5374
