#Mode:;3
#Device:;USB_Optical_Mouse
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;29912;1945
1;40628;7273
2;29590;2269
3;40253;7696
4;30051;1855
5;29303;2629
6;26851;5104
7;40480;7426
8;40204;7687
9;30779;1207
10;41099;6787
11;29007;2917
12;42928;5059
13;43289;4636
14;27959;3925
15;39443;8488
16;39334;8515
17;41325;6544
18;41883;6103
19;41481;6436
20;42005;5914
21;28985;3007
22;41916;5986
23;31117;847
24;31489;271
25;40089;7813
26;43238;4663
27;43185;4708
28;40149;7795
29;39317;8596
30;39834;8119
31;42268;5590
32;28547;3322
33;44632;3313
34;40684;7264
35;31161;802
36;40435;7417
37;30840;1036
38;30021;1837
39;38887;9010
40;42693;5140
41;41216;6616
42;44190;3754
43;30862;1009
44;27389;4474
45;31084;910
46;29852;2053
47;39206;8677
48;26387;5500
49;39839;8065
50;29680;2179
51;42442;5491
52;42372;5527
53;43613;4330
54;42725;5167
55;31499;433
56;43448;4393
57;27264;4645
58;38784;9073
59;29729;2152
60;41096;6832
61;42975;4861
62;43883;4024
63;44431;3385
64;31762;172
65;39704;8209
66;26530;5410
67;29248;2611
68;40596;7363
69;30679;1297
70;40838;7084
71;41925;5923
72;43802;4186
73;44413;3475
74;29633;2278
75;30967;1000
76;40465;7381
77;30137;1747
78;30813;1099
79;28272;3583
80;42067;5797
81;30425;1495
82;40069;7858
83;30263;1639
84;29937;1999
85;29075;2809
86;40974;6976
87;40452;7444
88;43330;4519
89;28014;3889
90;29392;2593
91;28642;3268
92;30477;1414
93;30563;1378
94;31234;703
95;29467;2422
96;30228;1720
97;40938;6931
98;42864;4969
99;40368;7570
100;39713;8128
101;41745;6121
102;40851;7066
103;44674;3214
104;30167;1756
105;31667;118
106;28488;3520
107;39693;8434
108;41899;6022
109;42582;5293
110;43026;4870
111;29447;2305
112;31698;307
113;40220;7660
114;39137;8767
115;31281;604
116;41209;6670
117;29774;2170
118;31803;109
119;27376;4510
120;41700;6211
121;43068;4879
122;27503;7606
123;31062;883
124;43162;4762
125;41073;6868
126;30926;1063
127;27060;4771
128;27223;4609
129;30826;1135
130;31228;649
131;41107;6805
132;31301;694
133;29124;2728
134;43753;4087
135;29263;2674
136;42101;7894
137;42151;6481
138;41464;6454
139;30253;1630
140;30302;1576
141;42059;5860
