counter,latency,delayTime,Device,Button
0,17,1792,Adafruit_Feather_32u4,5
1,7,955,Adafruit_Feather_32u4,5
2,19,5788,Adafruit_Feather_32u4,5
3,12,2998,Adafruit_Feather_32u4,5
4,13,3259,Adafruit_Feather_32u4,5
5,15,3169,Adafruit_Feather_32u4,5
6,14,7732,Adafruit_Feather_32u4,5
7,10,1081,Adafruit_Feather_32u4,5
8,16,3853,Adafruit_Feather_32u4,5
9,17,3808,Adafruit_Feather_32u4,5
10,21,6805,Adafruit_Feather_32u4,5
11,9,1423,Adafruit_Feather_32u4,5
12,12,8560,Adafruit_Feather_32u4,5
13,14,7498,Adafruit_Feather_32u4,5
14,37,8578,Adafruit_Feather_32u4,5
15,18,8830,Adafruit_Feather_32u4,5
16,11,586,Adafruit_Feather_32u4,5
17,16,2674,Adafruit_Feather_32u4,5
18,13,3997,Adafruit_Feather_32u4,5
19,13,2260,Adafruit_Feather_32u4,5
20,12,1630,Adafruit_Feather_32u4,5
21,26,5734,Adafruit_Feather_32u4,5
22,17,3583,Adafruit_Feather_32u4,5
23,20,4681,Adafruit_Feather_32u4,5
24,22,7372,Adafruit_Feather_32u4,5
25,13,7471,Adafruit_Feather_32u4,5
26,19,802,Adafruit_Feather_32u4,5
27,6,1549,Adafruit_Feather_32u4,5
28,23,6337,Adafruit_Feather_32u4,5
29,10,6202,Adafruit_Feather_32u4,5
30,3,172,Adafruit_Feather_32u4,5
31,9,4033,Adafruit_Feather_32u4,5
32,12,6607,Adafruit_Feather_32u4,5
33,8,4879,Adafruit_Feather_32u4,5
34,12,8875,Adafruit_Feather_32u4,5
35,12,6580,Adafruit_Feather_32u4,5
36,5,1144,Adafruit_Feather_32u4,5
37,12,8011,Adafruit_Feather_32u4,5
38,15,3088,Adafruit_Feather_32u4,5
39,8,1378,Adafruit_Feather_32u4,5
40,8,1063,Adafruit_Feather_32u4,5
41,13,8317,Adafruit_Feather_32u4,5
42,11,3025,Adafruit_Feather_32u4,5
43,7,1675,Adafruit_Feather_32u4,5
44,8,6778,Adafruit_Feather_32u4,5
45,9,2557,Adafruit_Feather_32u4,5
46,12,5248,Adafruit_Feather_32u4,5
47,13,4213,Adafruit_Feather_32u4,5
48,9,6670,Adafruit_Feather_32u4,5
49,10,4645,Adafruit_Feather_32u4,5
50,10,6040,Adafruit_Feather_32u4,5
51,3,856,Adafruit_Feather_32u4,5
52,8,4303,Adafruit_Feather_32u4,5
53,7,1387,Adafruit_Feather_32u4,5
54,12,3835,Adafruit_Feather_32u4,5
55,20,4114,Adafruit_Feather_32u4,5
56,16,4015,Adafruit_Feather_32u4,5
57,11,6085,Adafruit_Feather_32u4,5
58,10,5473,Adafruit_Feather_32u4,5
59,10,7273,Adafruit_Feather_32u4,5
60,9,3358,Adafruit_Feather_32u4,5
61,9,7336,Adafruit_Feather_32u4,5
62,7,1693,Adafruit_Feather_32u4,5
63,8,2062,Adafruit_Feather_32u4,5
64,12,973,Adafruit_Feather_32u4,5
65,10,1468,Adafruit_Feather_32u4,5
66,9,1486,Adafruit_Feather_32u4,5
67,10,3610,Adafruit_Feather_32u4,5
68,11,3043,Adafruit_Feather_32u4,5
69,9,5059,Adafruit_Feather_32u4,5
70,22,3754,Adafruit_Feather_32u4,5
71,11,5158,Adafruit_Feather_32u4,5
72,10,5527,Adafruit_Feather_32u4,5
73,14,7255,Adafruit_Feather_32u4,5
74,8,901,Adafruit_Feather_32u4,5
75,12,3070,Adafruit_Feather_32u4,5
76,3,1108,Adafruit_Feather_32u4,5
77,13,8947,Adafruit_Feather_32u4,5
78,11,4807,Adafruit_Feather_32u4,5
79,7,1162,Adafruit_Feather_32u4,5
80,14,7660,Adafruit_Feather_32u4,5
81,13,1585,Adafruit_Feather_32u4,5
82,10,1711,Adafruit_Feather_32u4,5
83,20,9028,Adafruit_Feather_32u4,5
84,11,5437,Adafruit_Feather_32u4,5
85,8,1657,Adafruit_Feather_32u4,5
86,9,1432,Adafruit_Feather_32u4,5
87,10,7525,Adafruit_Feather_32u4,5
88,15,6544,Adafruit_Feather_32u4,5
89,14,2584,Adafruit_Feather_32u4,5
90,14,6850,Adafruit_Feather_32u4,5
91,9,3601,Adafruit_Feather_32u4,5
92,6,685,Adafruit_Feather_32u4,5
93,10,5797,Adafruit_Feather_32u4,5
94,9,7777,Adafruit_Feather_32u4,5
95,19,5536,Adafruit_Feather_32u4,5
96,21,3988,Adafruit_Feather_32u4,5
97,13,1531,Adafruit_Feather_32u4,5
98,10,1297,Adafruit_Feather_32u4,5
99,13,6985,Adafruit_Feather_32u4,5
100,16,7651,Adafruit_Feather_32u4,5
101,8,6481,Adafruit_Feather_32u4,5
102,13,3214,Adafruit_Feather_32u4,5
103,20,3934,Adafruit_Feather_32u4,5
104,10,7039,Adafruit_Feather_32u4,5
105,10,2926,Adafruit_Feather_32u4,5
106,9,1846,Adafruit_Feather_32u4,5
107,13,5842,Adafruit_Feather_32u4,5
108,9,6247,Adafruit_Feather_32u4,5
109,11,7075,Adafruit_Feather_32u4,5
110,13,2836,Adafruit_Feather_32u4,5
111,12,6265,Adafruit_Feather_32u4,5
112,9,2872,Adafruit_Feather_32u4,5
113,9,3196,Adafruit_Feather_32u4,5
114,11,6418,Adafruit_Feather_32u4,5
115,12,2386,Adafruit_Feather_32u4,5
116,11,2935,Adafruit_Feather_32u4,5
117,13,4843,Adafruit_Feather_32u4,5
118,7,1702,Adafruit_Feather_32u4,5
119,15,3799,Adafruit_Feather_32u4,5
120,13,5185,Adafruit_Feather_32u4,5
121,11,2476,Adafruit_Feather_32u4,5
122,17,8776,Adafruit_Feather_32u4,5
123,10,4420,Adafruit_Feather_32u4,5
124,15,8641,Adafruit_Feather_32u4,5
125,12,6364,Adafruit_Feather_32u4,5
126,12,4429,Adafruit_Feather_32u4,5
127,15,8362,Adafruit_Feather_32u4,5
128,825,8110,Adafruit_Feather_32u4,5
129,8,2116,Adafruit_Feather_32u4,5
130,13,4528,Adafruit_Feather_32u4,5
131,752,154,Adafruit_Feather_32u4,5
132,13,6625,Adafruit_Feather_32u4,5
133,13,1540,Adafruit_Feather_32u4,5
134,9,1747,Adafruit_Feather_32u4,5
135,14,2521,Adafruit_Feather_32u4,5
136,9,3646,Adafruit_Feather_32u4,5
137,10,3241,Adafruit_Feather_32u4,5
138,8,3457,Adafruit_Feather_32u4,5
139,348,217,Adafruit_Feather_32u4,5
140,10,3637,Adafruit_Feather_32u4,5
141,10,5149,Adafruit_Feather_32u4,5
142,13,4447,Adafruit_Feather_32u4,5
143,9,6472,Adafruit_Feather_32u4,5
144,10,8596,Adafruit_Feather_32u4,5
145,9,1918,Adafruit_Feather_32u4,5
146,6,2863,Adafruit_Feather_32u4,5
147,10,5689,Adafruit_Feather_32u4,5
148,4,1504,Adafruit_Feather_32u4,5
149,10,6751,Adafruit_Feather_32u4,5
150,11,6706,Adafruit_Feather_32u4,5
151,9,5383,Adafruit_Feather_32u4,5
152,11,6922,Adafruit_Feather_32u4,5
153,8,8821,Adafruit_Feather_32u4,5
154,6,2782,Adafruit_Feather_32u4,5
155,11,7723,Adafruit_Feather_32u4,5
156,4,991,Adafruit_Feather_32u4,5
157,11,8884,Adafruit_Feather_32u4,5
158,4,631,Adafruit_Feather_32u4,5
159,8,1738,Adafruit_Feather_32u4,5
160,8,5077,Adafruit_Feather_32u4,5
161,7,5320,Adafruit_Feather_32u4,5
162,10,6742,Adafruit_Feather_32u4,5
163,6,2611,Adafruit_Feather_32u4,5
164,9,3331,Adafruit_Feather_32u4,5
