counter,latency,delayTime,Device,Button
0,3849006,973,Empirisoft_Corporation_Analog_Scale_Device,305
1,722068,6868,Empirisoft_Corporation_Analog_Scale_Device,305
2,1734893,5068,Empirisoft_Corporation_Analog_Scale_Device,305
3,15399938,3016,Empirisoft_Corporation_Analog_Scale_Device,305
4,543396,3520,Empirisoft_Corporation_Analog_Scale_Device,305
5,8532832,1063,Empirisoft_Corporation_Analog_Scale_Device,305
6,1917,5041,Empirisoft_Corporation_Analog_Scale_Device,305
7,1542,3394,Empirisoft_Corporation_Analog_Scale_Device,305
8,1281,595,Empirisoft_Corporation_Analog_Scale_Device,305
9,1284,4663,Empirisoft_Corporation_Analog_Scale_Device,305
10,1489,1423,Empirisoft_Corporation_Analog_Scale_Device,305
11,1288,4636,Empirisoft_Corporation_Analog_Scale_Device,305
12,2019,1882,Empirisoft_Corporation_Analog_Scale_Device,305
13,1757,4186,Empirisoft_Corporation_Analog_Scale_Device,305
14,1615,4357,Empirisoft_Corporation_Analog_Scale_Device,305
15,1375,8488,Empirisoft_Corporation_Analog_Scale_Device,305
16,1758,6229,Empirisoft_Corporation_Analog_Scale_Device,305
17,1961,6949,Empirisoft_Corporation_Analog_Scale_Device,305
18,1298,568,Empirisoft_Corporation_Analog_Scale_Device,305
19,2086,6823,Empirisoft_Corporation_Analog_Scale_Device,305
20,1464,8425,Empirisoft_Corporation_Analog_Scale_Device,305
21,1209,8749,Empirisoft_Corporation_Analog_Scale_Device,305
22,1517,3430,Empirisoft_Corporation_Analog_Scale_Device,305
23,1687,6238,Empirisoft_Corporation_Analog_Scale_Device,305
24,1854,2143,Empirisoft_Corporation_Analog_Scale_Device,305
25,1990,820,Empirisoft_Corporation_Analog_Scale_Device,305
26,1786,1126,Empirisoft_Corporation_Analog_Scale_Device,305
27,1448,6517,Empirisoft_Corporation_Analog_Scale_Device,305
28,1746,8227,Empirisoft_Corporation_Analog_Scale_Device,305
29,1852,2125,Empirisoft_Corporation_Analog_Scale_Device,305
30,1232,5689,Empirisoft_Corporation_Analog_Scale_Device,305
31,1592,3277,Empirisoft_Corporation_Analog_Scale_Device,305
32,1183,2719,Empirisoft_Corporation_Analog_Scale_Device,305
