counter,latency,delayTime,Device,Button
0,5993,5914,Logitech_Gamepad_F310,305
1,7562,8425,Logitech_Gamepad_F310,305
2,6045,1891,Logitech_Gamepad_F310,305
3,6978,946,Logitech_Gamepad_F310,305
4,6963,4942,Logitech_Gamepad_F310,305
5,3793,8083,Logitech_Gamepad_F310,305
6,6761,5104,Logitech_Gamepad_F310,305
7,4843,7030,Logitech_Gamepad_F310,305
8,5664,6265,Logitech_Gamepad_F310,305
9,8111,3817,Logitech_Gamepad_F310,305
10,6938,5050,Logitech_Gamepad_F310,305
11,7637,4285,Logitech_Gamepad_F310,305
12,3338,550,Logitech_Gamepad_F310,305
13,6200,4564,Logitech_Gamepad_F310,305
14,7064,892,Logitech_Gamepad_F310,305
15,3458,460,Logitech_Gamepad_F310,305
16,6993,4861,Logitech_Gamepad_F310,305
17,6694,1171,Logitech_Gamepad_F310,305
18,5097,2818,Logitech_Gamepad_F310,305
19,7956,2773,Logitech_Gamepad_F310,305
20,7452,4474,Logitech_Gamepad_F310,305
21,6756,5122,Logitech_Gamepad_F310,305
22,5010,6904,Logitech_Gamepad_F310,305
23,6560,5383,Logitech_Gamepad_F310,305
24,5983,1972,Logitech_Gamepad_F310,305
25,4367,3574,Logitech_Gamepad_F310,305
26,3534,370,Logitech_Gamepad_F310,305
27,7629,4123,Logitech_Gamepad_F310,305
28,5459,3358,Logitech_Gamepad_F310,305
29,7636,8209,Logitech_Gamepad_F310,305
30,3630,4276,Logitech_Gamepad_F310,305
31,7775,199,Logitech_Gamepad_F310,305
32,6424,1711,Logitech_Gamepad_F310,305
33,5050,6814,Logitech_Gamepad_F310,305
34,6214,5698,Logitech_Gamepad_F310,305
35,5346,7507,Logitech_Gamepad_F310,305
36,6024,5905,Logitech_Gamepad_F310,305
37,7444,541,Logitech_Gamepad_F310,305
38,5249,2665,Logitech_Gamepad_F310,305
39,7158,5014,Logitech_Gamepad_F310,305
40,7289,4645,Logitech_Gamepad_F310,305
41,3078,8866,Logitech_Gamepad_F310,305
42,7203,712,Logitech_Gamepad_F310,305
43,6552,5356,Logitech_Gamepad_F310,305
44,5417,6508,Logitech_Gamepad_F310,305
45,5805,2125,Logitech_Gamepad_F310,305
46,7753,4186,Logitech_Gamepad_F310,305
47,5794,2089,Logitech_Gamepad_F310,305
48,10191,1765,Logitech_Gamepad_F310,305
49,4382,7480,Logitech_Gamepad_F310,305
50,5970,3007,Logitech_Gamepad_F310,305
51,7322,4591,Logitech_Gamepad_F310,305
52,5050,7048,Logitech_Gamepad_F310,305
53,3295,8641,Logitech_Gamepad_F310,305
54,6446,5608,Logitech_Gamepad_F310,305
55,8109,7822,Logitech_Gamepad_F310,305
56,4461,1369,Logitech_Gamepad_F310,305
57,4813,3079,Logitech_Gamepad_F310,305
58,3056,6031,Logitech_Gamepad_F310,305
59,4143,7795,Logitech_Gamepad_F310,305
60,4782,3133,Logitech_Gamepad_F310,305
61,3023,847,Logitech_Gamepad_F310,305
62,9414,6436,Logitech_Gamepad_F310,305
63,4862,3043,Logitech_Gamepad_F310,305
64,7554,4366,Logitech_Gamepad_F310,305
65,4284,7642,Logitech_Gamepad_F310,305
66,6028,1864,Logitech_Gamepad_F310,305
67,5114,6859,Logitech_Gamepad_F310,305
68,7054,4870,Logitech_Gamepad_F310,305
69,7602,343,Logitech_Gamepad_F310,305
70,7200,703,Logitech_Gamepad_F310,305
71,3778,163,Logitech_Gamepad_F310,305
72,3648,8281,Logitech_Gamepad_F310,305
73,5550,2494,Logitech_Gamepad_F310,305
74,6690,5176,Logitech_Gamepad_F310,305
75,2794,1180,Logitech_Gamepad_F310,305
76,6663,1207,Logitech_Gamepad_F310,305
77,5322,6661,Logitech_Gamepad_F310,305
78,3710,8182,Logitech_Gamepad_F310,305
79,5432,6517,Logitech_Gamepad_F310,305
80,9847,2071,Logitech_Gamepad_F310,305
81,3032,8920,Logitech_Gamepad_F310,305
82,5574,6391,Logitech_Gamepad_F310,305
83,2813,1162,Logitech_Gamepad_F310,305
84,3996,7930,Logitech_Gamepad_F310,305
85,7130,8848,Logitech_Gamepad_F310,305
86,3719,8155,Logitech_Gamepad_F310,305
87,3024,991,Logitech_Gamepad_F310,305
88,7140,4726,Logitech_Gamepad_F310,305
89,4863,3223,Logitech_Gamepad_F310,305
90,5821,2062,Logitech_Gamepad_F310,305
91,6218,5752,Logitech_Gamepad_F310,305
92,6560,5293,Logitech_Gamepad_F310,305
93,4757,7165,Logitech_Gamepad_F310,305
94,6022,1882,Logitech_Gamepad_F310,305
95,6231,5743,Logitech_Gamepad_F310,305
96,3627,289,Logitech_Gamepad_F310,305
97,4267,7633,Logitech_Gamepad_F310,305
98,8012,7849,Logitech_Gamepad_F310,305
99,7476,478,Logitech_Gamepad_F310,305
100,4732,3160,Logitech_Gamepad_F310,305
101,2970,1036,Logitech_Gamepad_F310,305
102,6794,5068,Logitech_Gamepad_F310,305
103,4216,3691,Logitech_Gamepad_F310,305
104,5074,2890,Logitech_Gamepad_F310,305
105,7547,4411,Logitech_Gamepad_F310,305
106,4947,2944,Logitech_Gamepad_F310,305
107,6847,1153,Logitech_Gamepad_F310,305
108,6301,1612,Logitech_Gamepad_F310,305
109,6406,5401,Logitech_Gamepad_F310,305
110,6170,1738,Logitech_Gamepad_F310,305
111,6815,5113,Logitech_Gamepad_F310,305
112,4864,3034,Logitech_Gamepad_F310,305
113,4900,6958,Logitech_Gamepad_F310,305
114,6102,1792,Logitech_Gamepad_F310,305
115,3734,8236,Logitech_Gamepad_F310,305
116,3641,8254,Logitech_Gamepad_F310,305
117,3913,4024,Logitech_Gamepad_F310,305
118,7722,190,Logitech_Gamepad_F310,305
119,5872,1963,Logitech_Gamepad_F310,305
120,4181,7840,Logitech_Gamepad_F310,305
121,4533,3178,Logitech_Gamepad_F310,305
122,3605,379,Logitech_Gamepad_F310,305
123,3989,7921,Logitech_Gamepad_F310,305
124,5546,2413,Logitech_Gamepad_F310,305
125,4053,7813,Logitech_Gamepad_F310,305
126,3234,8632,Logitech_Gamepad_F310,305
127,6937,1009,Logitech_Gamepad_F310,305
128,5348,6607,Logitech_Gamepad_F310,305
129,5062,2863,Logitech_Gamepad_F310,305
130,7250,4672,Logitech_Gamepad_F310,305
131,7549,4330,Logitech_Gamepad_F310,305
132,3431,4447,Logitech_Gamepad_F310,305
133,6532,5185,Logitech_Gamepad_F310,305
134,3703,244,Logitech_Gamepad_F310,305
135,2867,1099,Logitech_Gamepad_F310,305
136,5988,5896,Logitech_Gamepad_F310,305
137,7010,4933,Logitech_Gamepad_F310,305
138,3083,793,Logitech_Gamepad_F310,305
139,5411,6454,Logitech_Gamepad_F310,305
140,5725,6373,Logitech_Gamepad_F310,305
141,5298,6598,Logitech_Gamepad_F310,305
142,6708,5284,Logitech_Gamepad_F310,305
143,5553,2350,Logitech_Gamepad_F310,305
144,6387,5536,Logitech_Gamepad_F310,305
145,5296,2638,Logitech_Gamepad_F310,305
146,5580,2386,Logitech_Gamepad_F310,305
147,5563,6337,Logitech_Gamepad_F310,305
148,6750,5239,Logitech_Gamepad_F310,305
149,6169,5716,Logitech_Gamepad_F310,305
150,4006,3925,Logitech_Gamepad_F310,305
151,7069,8902,Logitech_Gamepad_F310,305
152,4525,7399,Logitech_Gamepad_F310,305
153,4935,3025,Logitech_Gamepad_F310,305
154,7874,4060,Logitech_Gamepad_F310,305
