counter,latency,delayTime,Device,Button
0,15227,676,Sony_Computer_Entertainment_Wireless_Controller,304
1,15605,4294,Sony_Computer_Entertainment_Wireless_Controller,304
2,15285,8587,Sony_Computer_Entertainment_Wireless_Controller,304
3,14482,1387,Sony_Computer_Entertainment_Wireless_Controller,304
4,13223,1216,Sony_Computer_Entertainment_Wireless_Controller,304
5,15391,505,Sony_Computer_Entertainment_Wireless_Controller,304
6,14328,1468,Sony_Computer_Entertainment_Wireless_Controller,304
7,14212,1630,Sony_Computer_Entertainment_Wireless_Controller,304
8,14675,1135,Sony_Computer_Entertainment_Wireless_Controller,304
9,15004,811,Sony_Computer_Entertainment_Wireless_Controller,304
10,12660,3169,Sony_Computer_Entertainment_Wireless_Controller,304
11,12642,3205,Sony_Computer_Entertainment_Wireless_Controller,304
12,14948,712,Sony_Computer_Entertainment_Wireless_Controller,304
13,12840,3052,Sony_Computer_Entertainment_Wireless_Controller,304
14,12518,3448,Sony_Computer_Entertainment_Wireless_Controller,304
15,12049,7849,Sony_Computer_Entertainment_Wireless_Controller,304
16,13964,5986,Sony_Computer_Entertainment_Wireless_Controller,304
17,15666,262,Sony_Computer_Entertainment_Wireless_Controller,304
18,14722,1207,Sony_Computer_Entertainment_Wireless_Controller,304
19,14068,6130,Sony_Computer_Entertainment_Wireless_Controller,304
20,14830,9064,Sony_Computer_Entertainment_Wireless_Controller,304
21,14690,1243,Sony_Computer_Entertainment_Wireless_Controller,304
22,13182,2683,Sony_Computer_Entertainment_Wireless_Controller,304
23,15715,4123,Sony_Computer_Entertainment_Wireless_Controller,304
24,15194,8785,Sony_Computer_Entertainment_Wireless_Controller,304
25,14678,1270,Sony_Computer_Entertainment_Wireless_Controller,304
26,14651,5257,Sony_Computer_Entertainment_Wireless_Controller,304
27,12250,3547,Sony_Computer_Entertainment_Wireless_Controller,304
28,14900,964,Sony_Computer_Entertainment_Wireless_Controller,304
29,14304,1405,Sony_Computer_Entertainment_Wireless_Controller,304
30,13611,6229,Sony_Computer_Entertainment_Wireless_Controller,304
31,13377,6346,Sony_Computer_Entertainment_Wireless_Controller,304
32,15400,4528,Sony_Computer_Entertainment_Wireless_Controller,304
33,15291,4582,Sony_Computer_Entertainment_Wireless_Controller,304
34,14355,1801,Sony_Computer_Entertainment_Wireless_Controller,304
35,15302,685,Sony_Computer_Entertainment_Wireless_Controller,304
36,15659,307,Sony_Computer_Entertainment_Wireless_Controller,304
37,15504,4384,Sony_Computer_Entertainment_Wireless_Controller,304
38,15013,4843,Sony_Computer_Entertainment_Wireless_Controller,304
39,12869,6832,Sony_Computer_Entertainment_Wireless_Controller,304
40,13339,2566,Sony_Computer_Entertainment_Wireless_Controller,304
41,15251,4672,Sony_Computer_Entertainment_Wireless_Controller,304
42,13223,2728,Sony_Computer_Entertainment_Wireless_Controller,304
43,13245,6778,Sony_Computer_Entertainment_Wireless_Controller,304
44,14023,2026,Sony_Computer_Entertainment_Wireless_Controller,304
45,15286,595,Sony_Computer_Entertainment_Wireless_Controller,304
46,13443,6436,Sony_Computer_Entertainment_Wireless_Controller,304
47,12653,7201,Sony_Computer_Entertainment_Wireless_Controller,304
48,15644,3961,Sony_Computer_Entertainment_Wireless_Controller,304
49,12137,3529,Sony_Computer_Entertainment_Wireless_Controller,304
50,15328,4519,Sony_Computer_Entertainment_Wireless_Controller,304
51,15316,703,Sony_Computer_Entertainment_Wireless_Controller,304
52,13491,6652,Sony_Computer_Entertainment_Wireless_Controller,304
53,13211,2620,Sony_Computer_Entertainment_Wireless_Controller,304
54,12471,3520,Sony_Computer_Entertainment_Wireless_Controller,304
55,13090,2764,Sony_Computer_Entertainment_Wireless_Controller,304
56,14701,1234,Sony_Computer_Entertainment_Wireless_Controller,304
57,13167,2845,Sony_Computer_Entertainment_Wireless_Controller,304
58,12100,7750,Sony_Computer_Entertainment_Wireless_Controller,304
59,15034,8704,Sony_Computer_Entertainment_Wireless_Controller,304
60,12419,3484,Sony_Computer_Entertainment_Wireless_Controller,304
61,13408,6472,Sony_Computer_Entertainment_Wireless_Controller,304
62,15039,8803,Sony_Computer_Entertainment_Wireless_Controller,304
63,14971,1009,Sony_Computer_Entertainment_Wireless_Controller,304
64,13204,6598,Sony_Computer_Entertainment_Wireless_Controller,304
65,14253,5617,Sony_Computer_Entertainment_Wireless_Controller,304
66,12746,7174,Sony_Computer_Entertainment_Wireless_Controller,304
67,12074,3871,Sony_Computer_Entertainment_Wireless_Controller,304
68,15378,631,Sony_Computer_Entertainment_Wireless_Controller,304
69,14056,6085,Sony_Computer_Entertainment_Wireless_Controller,304
70,14314,1639,Sony_Computer_Entertainment_Wireless_Controller,304
71,13977,6121,Sony_Computer_Entertainment_Wireless_Controller,304
72,15097,784,Sony_Computer_Entertainment_Wireless_Controller,304
73,13739,6031,Sony_Computer_Entertainment_Wireless_Controller,304
74,11823,3979,Sony_Computer_Entertainment_Wireless_Controller,304
75,14756,955,Sony_Computer_Entertainment_Wireless_Controller,304
76,14759,4897,Sony_Computer_Entertainment_Wireless_Controller,304
77,15514,469,Sony_Computer_Entertainment_Wireless_Controller,304
78,14806,5059,Sony_Computer_Entertainment_Wireless_Controller,304
79,14833,1261,Sony_Computer_Entertainment_Wireless_Controller,304
80,14793,5023,Sony_Computer_Entertainment_Wireless_Controller,304
81,12864,2989,Sony_Computer_Entertainment_Wireless_Controller,304
82,15181,8578,Sony_Computer_Entertainment_Wireless_Controller,304
83,13644,1981,Sony_Computer_Entertainment_Wireless_Controller,304
84,15632,8128,Sony_Computer_Entertainment_Wireless_Controller,304
85,15513,415,Sony_Computer_Entertainment_Wireless_Controller,304
86,15442,4510,Sony_Computer_Entertainment_Wireless_Controller,304
87,15597,8182,Sony_Computer_Entertainment_Wireless_Controller,304
88,12886,2908,Sony_Computer_Entertainment_Wireless_Controller,304
89,14608,5347,Sony_Computer_Entertainment_Wireless_Controller,304
90,11954,3952,Sony_Computer_Entertainment_Wireless_Controller,304
91,15399,568,Sony_Computer_Entertainment_Wireless_Controller,304
92,14950,775,Sony_Computer_Entertainment_Wireless_Controller,304
93,15480,8344,Sony_Computer_Entertainment_Wireless_Controller,304
94,12140,4024,Sony_Computer_Entertainment_Wireless_Controller,304
95,15223,4681,Sony_Computer_Entertainment_Wireless_Controller,304
96,14364,1747,Sony_Computer_Entertainment_Wireless_Controller,304
97,15772,172,Sony_Computer_Entertainment_Wireless_Controller,304
98,14964,8911,Sony_Computer_Entertainment_Wireless_Controller,304
99,13891,5968,Sony_Computer_Entertainment_Wireless_Controller,304
100,12347,3583,Sony_Computer_Entertainment_Wireless_Controller,304
101,14254,5599,Sony_Computer_Entertainment_Wireless_Controller,304
102,13779,6157,Sony_Computer_Entertainment_Wireless_Controller,304
103,14930,8884,Sony_Computer_Entertainment_Wireless_Controller,304
104,14006,1837,Sony_Computer_Entertainment_Wireless_Controller,304
105,15372,4546,Sony_Computer_Entertainment_Wireless_Controller,304
106,15161,4789,Sony_Computer_Entertainment_Wireless_Controller,304
107,14535,1369,Sony_Computer_Entertainment_Wireless_Controller,304
108,12019,3898,Sony_Computer_Entertainment_Wireless_Controller,304
109,14688,1306,Sony_Computer_Entertainment_Wireless_Controller,304
110,14593,1414,Sony_Computer_Entertainment_Wireless_Controller,304
111,13737,2224,Sony_Computer_Entertainment_Wireless_Controller,304
112,13324,2593,Sony_Computer_Entertainment_Wireless_Controller,304
113,12068,100,Sony_Computer_Entertainment_Wireless_Controller,304
114,14133,5770,Sony_Computer_Entertainment_Wireless_Controller,304
115,14593,1378,Sony_Computer_Entertainment_Wireless_Controller,304
116,13127,2791,Sony_Computer_Entertainment_Wireless_Controller,304
117,12514,3376,Sony_Computer_Entertainment_Wireless_Controller,304
118,12327,3511,Sony_Computer_Entertainment_Wireless_Controller,304
119,11951,3889,Sony_Computer_Entertainment_Wireless_Controller,304
120,15272,8677,Sony_Computer_Entertainment_Wireless_Controller,304
121,13729,6175,Sony_Computer_Entertainment_Wireless_Controller,304
122,15084,892,Sony_Computer_Entertainment_Wireless_Controller,304
123,12313,3664,Sony_Computer_Entertainment_Wireless_Controller,304
124,15069,910,Sony_Computer_Entertainment_Wireless_Controller,304
125,13396,2638,Sony_Computer_Entertainment_Wireless_Controller,304
126,14867,9019,Sony_Computer_Entertainment_Wireless_Controller,304
127,15342,8515,Sony_Computer_Entertainment_Wireless_Controller,304
128,12424,3538,Sony_Computer_Entertainment_Wireless_Controller,304
129,13313,6634,Sony_Computer_Entertainment_Wireless_Controller,304
130,14560,5302,Sony_Computer_Entertainment_Wireless_Controller,304
131,14690,1297,Sony_Computer_Entertainment_Wireless_Controller,304
132,13211,6724,Sony_Computer_Entertainment_Wireless_Controller,304
133,12893,7030,Sony_Computer_Entertainment_Wireless_Controller,304
134,15831,8200,Sony_Computer_Entertainment_Wireless_Controller,304
135,15110,4753,Sony_Computer_Entertainment_Wireless_Controller,304
136,13289,2602,Sony_Computer_Entertainment_Wireless_Controller,304
137,12705,3313,Sony_Computer_Entertainment_Wireless_Controller,304
138,13906,2062,Sony_Computer_Entertainment_Wireless_Controller,304
139,14439,1594,Sony_Computer_Entertainment_Wireless_Controller,304
140,15431,4537,Sony_Computer_Entertainment_Wireless_Controller,304
141,13905,2035,Sony_Computer_Entertainment_Wireless_Controller,304
142,11845,4078,Sony_Computer_Entertainment_Wireless_Controller,304
143,11933,8083,Sony_Computer_Entertainment_Wireless_Controller,304
144,12362,7417,Sony_Computer_Entertainment_Wireless_Controller,304
145,13788,5977,Sony_Computer_Entertainment_Wireless_Controller,304
146,14082,1783,Sony_Computer_Entertainment_Wireless_Controller,304
147,15480,8335,Sony_Computer_Entertainment_Wireless_Controller,304
148,13472,2503,Sony_Computer_Entertainment_Wireless_Controller,304
149,14696,1198,Sony_Computer_Entertainment_Wireless_Controller,304
150,12335,3637,Sony_Computer_Entertainment_Wireless_Controller,304
151,14880,1036,Sony_Computer_Entertainment_Wireless_Controller,304
152,15152,8767,Sony_Computer_Entertainment_Wireless_Controller,304
153,12717,2944,Sony_Computer_Entertainment_Wireless_Controller,304
154,14658,5266,Sony_Computer_Entertainment_Wireless_Controller,304
155,11856,8101,Sony_Computer_Entertainment_Wireless_Controller,304
156,13902,2089,Sony_Computer_Entertainment_Wireless_Controller,304
157,12209,3718,Sony_Computer_Entertainment_Wireless_Controller,304
158,13251,6661,Sony_Computer_Entertainment_Wireless_Controller,304
159,15694,181,Sony_Computer_Entertainment_Wireless_Controller,304
160,12228,7597,Sony_Computer_Entertainment_Wireless_Controller,304
161,13181,6409,Sony_Computer_Entertainment_Wireless_Controller,304
162,15652,4258,Sony_Computer_Entertainment_Wireless_Controller,304
163,14847,1162,Sony_Computer_Entertainment_Wireless_Controller,304
164,13871,2098,Sony_Computer_Entertainment_Wireless_Controller,304
