counter,latency,delayTime,Device,Button
0,40751,7192,USB_Optical_Mouse,272
1,42469,5446,USB_Optical_Mouse,272
2,29577,2224,USB_Optical_Mouse,272
3,31262,676,USB_Optical_Mouse,272
4,41911,6067,USB_Optical_Mouse,272
5,27220,4663,USB_Optical_Mouse,272
6,41378,6571,USB_Optical_Mouse,272
7,28585,3304,USB_Optical_Mouse,272
8,30297,1630,USB_Optical_Mouse,272
9,41022,6931,USB_Optical_Mouse,272
10,41429,6481,USB_Optical_Mouse,272
11,30076,1801,USB_Optical_Mouse,272
12,31143,838,USB_Optical_Mouse,272
13,40413,7516,USB_Optical_Mouse,272
14,42341,5554,USB_Optical_Mouse,272
15,29766,2188,USB_Optical_Mouse,272
16,41319,6553,USB_Optical_Mouse,272
17,42752,5167,USB_Optical_Mouse,272
18,30923,1018,USB_Optical_Mouse,272
19,29961,1945,USB_Optical_Mouse,272
20,30993,910,USB_Optical_Mouse,272
21,42162,5752,USB_Optical_Mouse,272
22,29213,2710,USB_Optical_Mouse,272
23,41508,6418,USB_Optical_Mouse,272
24,40800,7093,USB_Optical_Mouse,272
25,28625,3295,USB_Optical_Mouse,272
26,28399,3412,USB_Optical_Mouse,272
27,30248,1684,USB_Optical_Mouse,272
28,42558,5410,USB_Optical_Mouse,272
29,44093,3781,USB_Optical_Mouse,272
30,30704,1189,USB_Optical_Mouse,272
31,30856,1099,USB_Optical_Mouse,272
32,43427,4501,USB_Optical_Mouse,272
33,30016,1846,USB_Optical_Mouse,272
34,30925,1090,USB_Optical_Mouse,272
35,40430,7498,USB_Optical_Mouse,272
36,41283,6598,USB_Optical_Mouse,272
37,30279,1567,USB_Optical_Mouse,272
38,43061,4870,USB_Optical_Mouse,272
39,30089,1819,USB_Optical_Mouse,272
40,29480,2503,USB_Optical_Mouse,272
41,29946,1927,USB_Optical_Mouse,272
42,29679,2197,USB_Optical_Mouse,272
43,29494,2494,USB_Optical_Mouse,272
44,40895,7003,USB_Optical_Mouse,272
45,40221,7660,USB_Optical_Mouse,272
46,29561,2404,USB_Optical_Mouse,272
47,40289,7633,USB_Optical_Mouse,272
48,39813,8092,USB_Optical_Mouse,272
49,40508,7408,USB_Optical_Mouse,272
50,30626,1315,USB_Optical_Mouse,272
51,31045,847,USB_Optical_Mouse,272
52,41306,6634,USB_Optical_Mouse,272
53,39614,8263,USB_Optical_Mouse,272
54,41094,6796,USB_Optical_Mouse,272
55,30650,1297,USB_Optical_Mouse,272
56,42896,5023,USB_Optical_Mouse,272
57,44046,3844,USB_Optical_Mouse,272
58,27242,4726,USB_Optical_Mouse,272
59,42529,5311,USB_Optical_Mouse,272
60,27194,4654,USB_Optical_Mouse,272
61,43501,4483,USB_Optical_Mouse,272
62,30470,1468,USB_Optical_Mouse,272
63,31018,946,USB_Optical_Mouse,272
64,28291,3628,USB_Optical_Mouse,272
65,30794,973,USB_Optical_Mouse,272
66,28183,3709,USB_Optical_Mouse,272
67,42413,5563,USB_Optical_Mouse,272
68,40686,7183,USB_Optical_Mouse,272
69,43708,4222,USB_Optical_Mouse,272
70,42632,5266,USB_Optical_Mouse,272
71,26281,5626,USB_Optical_Mouse,272
72,42676,5230,USB_Optical_Mouse,272
73,27467,4402,USB_Optical_Mouse,272
74,29468,2314,USB_Optical_Mouse,272
75,40495,7327,USB_Optical_Mouse,272
76,41760,6166,USB_Optical_Mouse,272
77,40500,7390,USB_Optical_Mouse,272
78,41914,5995,USB_Optical_Mouse,272
79,42872,5095,USB_Optical_Mouse,272
80,29645,2215,USB_Optical_Mouse,272
81,27862,4051,USB_Optical_Mouse,272
82,43649,4294,USB_Optical_Mouse,272
83,29488,2413,USB_Optical_Mouse,272
84,29565,2305,USB_Optical_Mouse,272
85,28951,2998,USB_Optical_Mouse,272
86,30187,1711,USB_Optical_Mouse,272
87,28187,3619,USB_Optical_Mouse,272
88,41644,6238,USB_Optical_Mouse,272
89,30516,1387,USB_Optical_Mouse,272
90,26470,5464,USB_Optical_Mouse,272
91,42984,4861,USB_Optical_Mouse,272
92,42932,5005,USB_Optical_Mouse,272
93,28349,3556,USB_Optical_Mouse,272
94,41933,5986,USB_Optical_Mouse,272
95,43569,4303,USB_Optical_Mouse,272
96,42846,5032,USB_Optical_Mouse,272
97,41499,6391,USB_Optical_Mouse,272
98,31122,802,USB_Optical_Mouse,272
99,41585,6301,USB_Optical_Mouse,272
100,26726,5212,USB_Optical_Mouse,272
101,39952,7975,USB_Optical_Mouse,272
102,28955,2926,USB_Optical_Mouse,272
103,41264,6652,USB_Optical_Mouse,272
104,42354,5536,USB_Optical_Mouse,272
105,29577,2359,USB_Optical_Mouse,272
106,28644,3349,USB_Optical_Mouse,272
107,28687,3223,USB_Optical_Mouse,272
108,40577,7309,USB_Optical_Mouse,272
109,30561,1333,USB_Optical_Mouse,272
110,42934,4951,USB_Optical_Mouse,272
111,43069,4798,USB_Optical_Mouse,272
112,44265,3601,USB_Optical_Mouse,272
113,30035,1864,USB_Optical_Mouse,272
114,41639,6364,USB_Optical_Mouse,272
115,39406,8542,USB_Optical_Mouse,272
116,42706,5131,USB_Optical_Mouse,272
117,30241,1648,USB_Optical_Mouse,272
118,43622,4321,USB_Optical_Mouse,272
119,30663,1225,USB_Optical_Mouse,272
120,30167,1747,USB_Optical_Mouse,272
121,29220,2575,USB_Optical_Mouse,272
122,40321,7525,USB_Optical_Mouse,272
123,28909,3025,USB_Optical_Mouse,272
124,42644,5302,USB_Optical_Mouse,272
125,39133,8722,USB_Optical_Mouse,272
126,41462,6373,USB_Optical_Mouse,272
127,31883,145,USB_Optical_Mouse,272
128,30859,1000,USB_Optical_Mouse,272
129,29570,2278,USB_Optical_Mouse,272
130,30241,1738,USB_Optical_Mouse,272
131,30290,1702,USB_Optical_Mouse,272
132,31167,757,USB_Optical_Mouse,272
133,28763,3061,USB_Optical_Mouse,272
134,28147,3799,USB_Optical_Mouse,272
135,39579,8272,USB_Optical_Mouse,272
136,31706,343,USB_Optical_Mouse,272
137,26703,5149,USB_Optical_Mouse,272
138,40976,6868,USB_Optical_Mouse,272
139,30670,1342,USB_Optical_Mouse,272
140,30724,1108,USB_Optical_Mouse,272
141,29960,1918,USB_Optical_Mouse,272
142,27524,4465,USB_Optical_Mouse,272
143,42151,5824,USB_Optical_Mouse,272
144,30056,1828,USB_Optical_Mouse,272
145,30055,1729,USB_Optical_Mouse,272
146,43222,4546,USB_Optical_Mouse,272
147,44155,3691,USB_Optical_Mouse,272
148,41647,6274,USB_Optical_Mouse,272
149,44802,3034,USB_Optical_Mouse,272
150,40777,7057,USB_Optical_Mouse,272
151,27521,4447,USB_Optical_Mouse,272
152,31538,352,USB_Optical_Mouse,272
153,30354,1495,USB_Optical_Mouse,272
154,44268,3664,USB_Optical_Mouse,272
155,43099,4888,USB_Optical_Mouse,272
156,42836,5041,USB_Optical_Mouse,272
157,43478,4357,USB_Optical_Mouse,272
158,40730,7318,USB_Optical_Mouse,272
159,27873,4042,USB_Optical_Mouse,272
160,40080,7804,USB_Optical_Mouse,272
161,40178,7651,USB_Optical_Mouse,272
162,42961,4897,USB_Optical_Mouse,272
163,40749,7156,USB_Optical_Mouse,272
164,42847,5014,USB_Optical_Mouse,272
165,43873,3961,USB_Optical_Mouse,272
166,29181,2773,USB_Optical_Mouse,272
167,30812,1153,USB_Optical_Mouse,272
168,29553,2368,USB_Optical_Mouse,272
169,42024,5725,USB_Optical_Mouse,272
170,29937,1972,USB_Optical_Mouse,272
171,31663,172,USB_Optical_Mouse,272
172,44072,3835,USB_Optical_Mouse,272
173,44302,3646,USB_Optical_Mouse,272
174,40130,7795,USB_Optical_Mouse,272
175,27432,4519,USB_Optical_Mouse,272
176,41843,6022,USB_Optical_Mouse,272
177,31001,892,USB_Optical_Mouse,272
178,42989,4906,USB_Optical_Mouse,272
179,31582,316,USB_Optical_Mouse,272
180,31395,442,USB_Optical_Mouse,272
181,30939,982,USB_Optical_Mouse,272
182,29382,2557,USB_Optical_Mouse,272
183,41790,6103,USB_Optical_Mouse,272
184,39064,8767,USB_Optical_Mouse,272
185,44033,3871,USB_Optical_Mouse,272
186,28849,2971,USB_Optical_Mouse,272
187,30067,1882,USB_Optical_Mouse,272
188,29520,2341,USB_Optical_Mouse,272
189,31265,604,USB_Optical_Mouse,272
190,44066,3817,USB_Optical_Mouse,272
191,42386,5491,USB_Optical_Mouse,272
192,41923,5968,USB_Optical_Mouse,272
193,42341,5581,USB_Optical_Mouse,272
194,43728,4195,USB_Optical_Mouse,272
195,30804,1054,USB_Optical_Mouse,272
196,41203,6733,USB_Optical_Mouse,272
197,29211,2656,USB_Optical_Mouse,272
198,31784,127,USB_Optical_Mouse,272
199,39460,8461,USB_Optical_Mouse,272
200,29469,2431,USB_Optical_Mouse,272
201,27676,4168,USB_Optical_Mouse,272
202,31246,694,USB_Optical_Mouse,272
203,29064,2818,USB_Optical_Mouse,272
204,42000,5851,USB_Optical_Mouse,272
205,30919,1072,USB_Optical_Mouse,272
206,28655,3277,USB_Optical_Mouse,272
207,41814,6094,USB_Optical_Mouse,272
208,29354,2467,USB_Optical_Mouse,272
209,28504,3376,USB_Optical_Mouse,272
210,40635,7255,USB_Optical_Mouse,272
211,45079,2872,USB_Optical_Mouse,272
212,40970,6949,USB_Optical_Mouse,272
213,40594,7282,USB_Optical_Mouse,272
214,31046,883,USB_Optical_Mouse,272
215,30972,928,USB_Optical_Mouse,272
216,29431,2449,USB_Optical_Mouse,272
217,30344,1603,USB_Optical_Mouse,272
218,44636,3286,USB_Optical_Mouse,272
219,27761,4087,USB_Optical_Mouse,272
220,31330,433,USB_Optical_Mouse,272
221,29953,1909,USB_Optical_Mouse,272
222,43407,4438,USB_Optical_Mouse,272
223,38999,8920,USB_Optical_Mouse,272
224,39851,8020,USB_Optical_Mouse,272
225,43583,4276,USB_Optical_Mouse,272
226,40078,7849,USB_Optical_Mouse,272
227,30448,1441,USB_Optical_Mouse,272
228,30244,1675,USB_Optical_Mouse,272
229,29159,2755,USB_Optical_Mouse,272
230,44541,3322,USB_Optical_Mouse,272
231,44706,3133,USB_Optical_Mouse,272
232,41811,6031,USB_Optical_Mouse,272
233,43806,3934,USB_Optical_Mouse,272
234,42735,5104,USB_Optical_Mouse,272
235,26783,5221,USB_Optical_Mouse,272
236,28392,3511,USB_Optical_Mouse,272
237,41504,6445,USB_Optical_Mouse,272
238,40851,7048,USB_Optical_Mouse,272
239,43066,4807,USB_Optical_Mouse,272
240,41211,6661,USB_Optical_Mouse,272
241,42969,4933,USB_Optical_Mouse,272
242,31170,766,USB_Optical_Mouse,272
243,42334,5473,USB_Optical_Mouse,272
244,28818,3079,USB_Optical_Mouse,272
245,39378,8497,USB_Optical_Mouse,272
246,40789,7120,USB_Optical_Mouse,272
247,40753,7165,USB_Optical_Mouse,272
248,29216,2683,USB_Optical_Mouse,272
249,44388,3457,USB_Optical_Mouse,272
250,42045,5815,USB_Optical_Mouse,272
251,31426,487,USB_Optical_Mouse,272
252,39775,8110,USB_Optical_Mouse,272
253,27569,4348,USB_Optical_Mouse,272
254,40469,7426,USB_Optical_Mouse,272
255,29148,2728,USB_Optical_Mouse,272
256,43267,4591,USB_Optical_Mouse,272
257,29029,2917,USB_Optical_Mouse,272
258,30117,1765,USB_Optical_Mouse,272
259,39170,8749,USB_Optical_Mouse,272
260,40828,7066,USB_Optical_Mouse,272
261,42370,5482,USB_Optical_Mouse,272
262,42989,4987,USB_Optical_Mouse,272
263,41980,5914,USB_Optical_Mouse,272
264,28397,3502,USB_Optical_Mouse,272
265,28408,3529,USB_Optical_Mouse,272
266,39822,8101,USB_Optical_Mouse,272
267,40685,7228,USB_Optical_Mouse,272
268,44679,2836,USB_Optical_Mouse,272
269,29964,1900,USB_Optical_Mouse,272
270,31231,622,USB_Optical_Mouse,272
271,29928,2062,USB_Optical_Mouse,272
